Time_s,PLX,PLY,EstFreq_Hz,PhaseCorr,SW,RealSW,RLS_A_X,RLS_B_X,RealFreq_Hz,RealPhase
0.0000,0.1352,0.0875,0.5794,0.0000,0,0,0.0000,0.0672,0.5794,0.0000
0.0099,0.1461,0.0819,0.5794,0.0000,0,0,0.0004,0.0730,0.5794,0.0000
0.0206,0.1537,0.0816,0.5794,0.0000,0,0,0.0015,0.0768,0.5794,0.0000
0.0296,0.1499,0.0878,0.5794,0.0000,0,0,0.0002,0.0752,0.5794,0.0000
0.0396,0.1401,0.1020,0.5794,0.0000,0,0,-0.0075,0.0712,0.5794,0.0000
0.0499,0.1373,0.0976,0.5794,0.0000,0,0,-0.0110,0.0703,0.5794,0.0000
0.0597,0.1339,0.0857,0.5794,0.0000,0,0,-0.0150,0.0695,0.5794,0.0000
0.0700,0.1366,0.0952,0.5794,0.0000,0,0,-0.0098,0.0704,0.5794,0.0000
0.0797,0.1443,0.0942,0.5794,0.0000,0,0,0.0024,0.0726,0.5794,0.0000
0.0897,0.1510,0.0912,0.5794,0.0000,0,0,0.0126,0.0746,0.5794,0.0000
0.0999,0.1510,0.0911,0.5794,0.0000,0,0,0.0148,0.0751,0.5794,0.0000
0.1097,0.1451,0.0955,0.5794,0.0000,0,0,0.0107,0.0741,0.5794,0.0000
0.1206,0.1348,0.0987,0.5794,0.0000,0,0,0.0026,0.0720,0.5794,0.0000
0.1297,0.1356,0.0956,0.5794,0.0000,0,0,0.0015,0.0716,0.5794,0.0000
0.1396,0.1390,0.0965,0.5794,0.0000,0,0,0.0037,0.0723,0.5794,0.0000
0.1500,0.1450,0.0965,0.5794,0.0000,0,0,0.0080,0.0737,0.5794,0.0000
0.1596,0.1501,0.0966,0.5794,0.0000,0,0,0.0123,0.0752,0.5794,0.0000
0.1700,0.1509,0.0998,0.5794,0.0000,0,0,0.0150,0.0762,0.5794,0.0000
0.1796,0.1422,0.0920,0.5794,0.0000,0,0,0.0138,0.0757,0.5794,0.0000
0.1897,0.1389,0.0863,0.5794,0.0000,0,0,0.0126,0.0753,0.5794,0.0000
0.2005,0.1370,0.0891,0.5794,0.0000,0,0,0.0118,0.0750,0.5794,0.0000
0.2098,0.1350,0.0939,0.5794,0.0000,0,0,0.0113,0.0747,0.5794,0.0000
0.2201,0.1355,0.0930,0.5794,0.0000,0,0,0.0114,0.0748,0.5794,0.0000
0.2297,0.1441,0.0880,0.5794,0.0000,0,0,0.0135,0.0757,0.5794,0.0000
0.2396,0.1527,0.0899,0.5794,0.0000,0,0,0.0167,0.0772,0.5794,0.0000
0.2507,0.1525,0.0956,0.5794,0.0000,0,0,0.0191,0.0784,0.5794,0.0000
0.2596,0.1453,0.0925,0.5794,0.0000,0,0,0.0200,0.0788,0.5794,0.0000
0.2700,0.1402,0.0856,0.5794,0.0000,0,0,0.0201,0.0789,0.5794,0.0000
0.2797,0.1333,0.0863,0.5794,0.0000,0,0,0.0195,0.0786,0.5794,0.0000
0.2897,0.1323,0.0929,0.5794,0.0000,0,0,0.0193,0.0784,0.5794,0.0000
0.3001,0.1360,0.0974,0.5794,0.0000,0,0,0.0198,0.0787,0.5794,0.0000
0.3097,0.1429,0.0950,0.5794,0.0000,0,0,0.0211,0.0793,0.5794,0.0000
0.3206,0.1478,0.0894,0.5794,0.0000,0,0,0.0229,0.0802,0.5794,0.0000
0.3297,0.1506,0.0858,0.5794,0.0000,0,0,0.0247,0.0810,0.5794,0.0000
0.3397,0.1489,0.0938,0.5794,0.0000,0,0,0.0262,0.0817,0.5794,0.0000
0.3501,0.1441,0.0956,0.5794,0.0000,0,0,0.0273,0.0822,0.5794,0.0000
0.3596,0.1387,0.0869,0.5794,0.0000,0,0,0.0279,0.0825,0.5794,0.0000
0.3700,0.1322,0.0850,0.5794,0.0000,0,0,0.0281,0.0825,0.5794,0.0000
0.3797,0.1365,0.0862,0.5794,0.0000,0,0,0.0288,0.0828,0.5794,0.0000
0.3897,0.1399,0.0894,0.5794,0.0000,0,0,0.0298,0.0831,0.5794,0.0000
0.4006,0.1506,0.0884,0.5794,0.0000,0,0,0.0315,0.0835,0.5794,0.0000
0.4096,0.1510,0.0866,0.5794,0.0000,0,0,0.0332,0.0838,0.5794,0.0000
0.4200,0.1440,0.0885,0.5794,0.0000,0,0,0.0343,0.0840,0.5794,0.0000
0.4297,0.1365,0.0946,0.5794,0.0000,0,0,0.0351,0.0840,0.5794,0.0000
0.4396,0.1342,0.0916,0.5794,0.0000,0,0,0.0358,0.0840,0.5794,0.0000
0.4507,0.1363,0.0944,0.5794,0.0000,0,0,0.0367,0.0839,0.5794,0.0000
0.4597,0.1412,0.0965,0.5794,0.0000,0,0,0.0378,0.0836,0.5794,0.0000
0.4700,0.1460,0.0905,0.5794,0.0000,0,0,0.0392,0.0832,0.5794,0.0000
0.4797,0.1488,0.0872,0.5794,0.0000,0,0,0.0407,0.0825,0.5794,0.0000
0.4898,0.1474,0.0855,0.5794,0.0000,0,0,0.0421,0.0818,0.5794,0.0000
0.4997,0.1432,0.0878,0.5794,0.0000,0,0,0.0432,0.0811,0.5794,0.0000
0.5106,0.1427,0.0943,0.5794,0.0000,0,0,0.0444,0.0802,0.5794,0.0000
0.5206,0.1402,0.0923,0.5794,0.0000,0,0,0.0454,0.0793,0.5794,0.0000
0.5297,0.1407,0.0888,0.5794,0.0000,0,0,0.0464,0.0783,0.5794,0.0000
0.5397,0.1351,0.0845,0.5794,0.0000,0,0,0.0472,0.0773,0.5794,0.0000
0.5496,0.1393,0.0908,0.5794,0.0000,0,0,0.0482,0.0761,0.5794,0.0000
0.5600,0.1408,0.0893,0.5794,0.0000,0,0,0.0491,0.0747,0.5794,0.0000
0.5700,0.1420,0.0892,0.5794,0.0000,0,0,0.0500,0.0731,0.5794,0.0000
0.5797,0.1375,0.0863,0.5794,0.0000,0,0,0.0508,0.0716,0.5794,0.0000
0.5897,0.1356,0.0854,0.5794,0.0000,0,0,0.0515,0.0701,0.5794,0.0000
0.5996,0.1351,0.0941,0.5794,0.0000,0,0,0.0521,0.0685,0.5794,0.0000
0.6100,0.1390,0.0935,0.5794,0.0000,0,0,0.0528,0.0666,0.5794,0.0000
0.6200,0.1420,0.0884,0.5794,0.0000,0,0,0.0534,0.0644,0.5794,0.0000
0.6297,0.1468,0.0880,0.5794,0.0000,0,0,0.0541,0.0619,0.5794,0.0000
0.6396,0.1436,0.0894,0.5794,0.0000,0,0,0.0546,0.0595,0.5794,0.0000
0.6496,0.1437,0.0931,0.5794,0.0000,0,0,0.0550,0.0571,0.5794,0.0000
0.6604,0.1419,0.0884,0.5794,0.0000,0,0,0.0553,0.0547,0.5794,0.0000
0.6700,0.1404,0.0827,0.5794,0.0000,0,0,0.0556,0.0523,0.5794,0.0000
0.6796,0.1402,0.0826,0.5794,0.0000,0,0,0.0558,0.0499,0.5794,0.0000
0.6897,0.1405,0.0824,0.5794,0.0000,0,0,0.0559,0.0475,0.5794,0.0000
0.6997,0.1480,0.0844,0.5794,0.0000,0,0,0.0559,0.0445,0.5794,0.0000
0.7106,0.1488,0.0892,0.5794,0.0000,0,0,0.0558,0.0415,0.5794,0.0000
0.7207,0.1493,0.0920,0.5794,0.0000,0,0,0.0557,0.0385,0.5794,0.0000
0.7297,0.1446,0.0918,0.5794,0.0000,0,0,0.0555,0.0358,0.5794,0.0000
0.7396,0.1394,0.0920,0.5794,0.0000,0,0,0.0553,0.0335,0.5794,0.0000
0.7497,0.1352,0.0842,0.5794,0.0000,0,0,0.0550,0.0314,0.5794,0.0000
0.7600,0.1375,0.0883,0.5794,0.0000,0,0,0.0547,0.0292,0.5794,0.0000
0.7700,0.1460,0.0884,0.5794,0.0000,0,0,0.0542,0.0264,0.5794,0.0000
0.7801,0.1511,0.0875,0.5794,0.0000,0,0,0.0536,0.0234,0.5794,0.0000
0.7897,0.1574,0.0890,0.5794,0.0000,0,0,0.0529,0.0202,0.5794,0.0000
0.7997,0.1526,0.0882,0.5794,0.0000,0,0,0.0522,0.0173,0.5794,0.0000
0.8100,0.1492,0.0924,0.5794,0.0000,0,0,0.0516,0.0147,0.5794,0.0000
0.8196,0.1461,0.0925,0.5794,0.0000,0,0,0.0509,0.0123,0.5794,0.0000
0.8300,0.1387,0.0900,0.5794,0.0000,0,0,0.0503,0.0104,0.5794,0.0000
0.8396,0.1399,0.0937,0.5794,0.0000,0,0,0.0497,0.0085,0.5794,0.0000
0.8497,0.1500,0.0918,0.5794,0.0000,0,0,0.0488,0.0061,0.5794,0.0000
0.8604,0.1522,0.0958,0.5794,0.0000,0,0,0.0479,0.0037,0.5794,0.0000
0.8696,0.1515,0.0978,0.5794,0.0000,0,0,0.0469,0.0014,0.5794,0.0000
0.8800,0.1429,0.0897,0.5794,0.0000,0,0,0.0461,-0.0004,0.5794,0.0000
0.8897,0.1401,0.0819,0.5794,0.0000,0,0,0.0454,-0.0019,0.5794,0.0000
0.8997,0.1360,0.0831,0.5794,0.0000,0,0,0.0447,-0.0033,0.5794,0.0000
0.9106,0.1390,0.0924,0.5794,0.0000,0,0,0.0440,-0.0048,0.5794,0.0000
0.9196,0.1440,0.0968,0.5794,0.0000,0,0,0.0431,-0.0064,0.5794,0.0000
0.9300,0.1463,0.0977,0.5794,0.0000,0,0,0.0421,-0.0080,0.5794,0.0000
0.9397,0.1475,0.0995,0.5794,0.0000,0,0,0.0411,-0.0096,0.5794,0.0000
0.9497,0.1454,0.1001,0.5794,0.0000,0,0,0.0401,-0.0111,0.5794,0.0000
0.9600,0.1423,0.0994,0.5794,0.0000,0,0,0.0392,-0.0123,0.5794,0.0000
0.9697,0.1396,0.0935,0.5794,0.0000,0,0,0.0383,-0.0134,0.5794,0.0000
0.9800,0.1373,0.0861,0.5794,0.0000,0,0,0.0375,-0.0144,0.5794,0.0000
0.9898,0.1317,0.0896,0.5794,0.0000,0,0,0.0369,-0.0152,0.5794,0.0000
0.9996,0.1389,0.0960,0.5794,0.0000,0,0,0.0360,-0.0161,0.5794,0.0000
1.0101,0.1471,0.0934,0.5794,0.0000,0,0,0.0349,-0.0172,0.5794,0.0000
1.0197,0.1531,0.0870,0.5794,0.0000,0,0,0.0336,-0.0183,0.5794,0.0000
1.0301,0.1525,0.0882,0.5794,0.0000,0,0,0.0323,-0.0194,0.5794,0.0000
1.0396,0.1442,0.0978,0.5794,0.0000,0,0,0.0313,-0.0201,0.5794,0.0000
1.0497,0.1327,0.0929,0.5794,0.0000,0,0,0.0306,-0.0206,0.5794,0.0000
1.0605,0.1356,0.0876,0.5794,0.0000,0,0,0.0298,-0.0211,0.5794,0.0000
1.0697,0.1452,0.0820,0.5794,0.0000,0,0,0.0287,-0.0216,0.5794,0.0000
1.0800,0.1439,0.0860,0.5794,0.0000,0,0,0.0276,-0.0221,0.5794,0.0000
1.0897,0.1460,0.0917,0.5794,0.0000,0,0,0.0265,-0.0225,0.5794,0.0000
1.0997,0.1488,0.0890,0.5794,0.0000,0,0,0.0253,-0.0228,0.5794,0.0000
1.1104,0.1521,0.0863,0.5794,0.0000,0,0,0.0241,-0.0231,0.5794,0.0000
1.1196,0.1514,0.0865,0.5794,0.0000,0,0,0.0228,-0.0232,0.5794,0.0000
1.1300,0.1489,0.0905,0.5794,0.0000,0,0,0.0217,-0.0233,0.5794,0.0000
1.1397,0.1437,0.0908,0.5794,0.0000,0,0,0.0207,-0.0232,0.5794,0.0000
1.1496,0.1442,0.0881,0.5794,0.0000,0,0,0.0198,-0.0231,0.5794,0.0000
1.1600,0.1505,0.0899,0.5794,0.0000,0,0,0.0186,-0.0228,0.5794,0.0000
1.1697,0.1543,0.0888,0.5794,0.0000,0,0,0.0175,-0.0225,0.5794,0.0000
1.1800,0.1529,0.0892,0.5794,0.0000,0,0,0.0163,-0.0220,0.5794,0.0000
1.1897,0.1478,0.0915,0.5794,0.0000,0,0,0.0154,-0.0216,0.5794,0.0000
1.1997,0.1426,0.0936,0.5794,0.0000,0,0,0.0146,-0.0211,0.5794,0.0000
1.2101,0.1380,0.0957,0.5794,0.0000,0,0,0.0140,-0.0206,0.5794,0.0000
1.2196,0.1366,0.0970,0.5794,0.0000,0,0,0.0134,-0.0201,0.5794,0.0000
1.2300,0.1397,0.0912,0.5794,0.0000,0,0,0.0127,-0.0195,0.5794,0.0000
1.2397,0.1431,0.0885,0.5794,0.0000,0,0,0.0120,-0.0188,0.5794,0.0000
1.2498,0.1428,0.0875,0.5794,0.0000,0,0,0.0114,-0.0180,0.5794,0.0000
1.2605,0.1378,0.0932,0.5794,0.0000,0,0,0.0109,-0.0173,0.5794,0.0000
1.2697,0.1400,0.0910,0.5794,0.0000,0,0,0.0104,-0.0165,0.5794,0.0000
1.2800,0.1393,0.0860,0.5794,0.0000,0,0,0.0099,-0.0157,0.5794,0.0000
1.2897,0.1399,0.0866,0.5794,0.0000,0,0,0.0095,-0.0149,0.5794,0.0000
1.2997,0.1350,0.0924,0.5794,0.0000,0,0,0.0092,-0.0142,0.5794,0.0000
1.3105,0.1347,0.0879,0.5794,0.0000,0,0,0.0089,-0.0134,0.5794,0.0000
1.3197,0.1454,0.0816,0.5794,0.0000,0,0,0.0085,-0.0123,0.5794,0.0000
1.3301,0.1492,0.0829,0.5794,0.0000,0,0,0.0081,-0.0110,0.5794,0.0000
1.3396,0.1446,0.0935,0.5794,0.0000,0,0,0.0078,-0.0099,0.5794,0.0000
1.3497,0.1407,0.0972,0.5794,0.0000,0,0,0.0076,-0.0090,0.5794,0.0000
1.3600,0.1420,0.0939,0.5794,0.0000,0,0,0.0074,-0.0080,0.5794,0.0000
1.3696,0.1448,0.0940,0.5794,0.0000,0,0,0.0072,-0.0069,0.5794,0.0000
1.3800,0.1430,0.0915,0.5794,0.0000,0,0,0.0071,-0.0060,0.5794,0.0000
1.3898,0.1421,0.0934,0.5794,0.0000,0,0,0.0070,-0.0051,0.5794,0.0000
1.3996,0.1480,0.0880,0.5794,0.0000,0,0,0.0069,-0.0039,0.5794,0.0000
1.4100,0.1462,0.0804,0.5794,0.0000,0,0,0.0068,-0.0029,0.5794,0.0000
1.4197,0.1464,0.0851,0.5794,0.0000,0,0,0.0068,-0.0020,0.5794,0.0000
1.4301,0.1371,0.0957,0.5794,0.0000,0,0,0.0068,-0.0015,0.5794,0.0000
1.4396,0.1373,0.0941,0.5794,0.0000,0,0,0.0068,-0.0011,0.5794,0.0000
1.4497,0.1388,0.0919,0.5794,0.0000,0,0,0.0069,-0.0006,0.5794,0.0000
1.4605,0.1408,0.0922,0.5794,0.0000,0,0,0.0069,-0.0001,0.5794,0.0000
1.4697,0.1398,0.0967,0.5794,0.0000,0,0,0.0069,0.0004,0.5794,0.0000
1.4800,0.1460,0.0995,0.5794,0.0000,0,0,0.0070,0.0011,0.5794,0.0000
1.4898,0.1469,0.0927,0.5794,0.0000,0,0,0.0072,0.0018,0.5794,0.0000
1.4996,0.1496,0.0885,0.5794,0.0000,0,0,0.0073,0.0026,0.5794,0.0000
1.5105,0.1464,0.0946,0.5794,0.0000,0,0,0.0074,0.0032,0.5794,0.0000
1.5197,0.1383,0.0991,0.5794,0.0000,0,0,0.0074,0.0033,0.5794,0.0000
1.5300,0.1413,0.0980,0.5794,0.0000,0,0,0.0075,0.0035,0.5794,0.0000
1.5396,0.1377,0.0945,0.5794,0.0000,0,0,0.0075,0.0036,0.5794,0.0000
1.5497,0.1443,0.0911,0.5794,0.0000,0,0,0.0076,0.0039,0.5794,0.0000
1.5600,0.1460,0.0916,0.5794,0.0000,0,0,0.0077,0.0043,0.5794,0.0000
1.5697,0.1501,0.0918,0.5794,0.0000,0,0,0.0079,0.0048,0.5794,0.0000
1.5800,0.1422,0.0881,0.5794,0.0000,0,0,0.0079,0.0049,0.5794,0.0000
1.5897,0.1368,0.0890,0.5794,0.0000,0,0,0.0079,0.0048,0.5794,0.0000
1.5996,0.1361,0.0881,0.5794,0.0000,0,0,0.0078,0.0046,0.5794,0.0000
1.6100,0.1422,0.0950,0.5794,0.0000,0,0,0.0079,0.0047,0.5794,0.0000
1.6196,0.1486,0.0955,0.5794,0.0000,0,0,0.0080,0.0050,0.5794,0.0000
1.6300,0.1541,0.0950,0.5794,0.0000,0,0,0.0082,0.0055,0.5794,0.0000
1.6396,0.1537,0.0938,0.5794,0.0000,0,0,0.0085,0.0059,0.5794,0.0000
1.6498,0.1452,0.0983,0.5794,0.0000,0,0,0.0085,0.0060,0.5794,0.0000
1.6605,0.1362,0.0991,0.5794,0.0000,0,0,0.0083,0.0057,0.5794,0.0000
1.6698,0.1327,0.0891,0.5794,0.0000,0,0,0.0081,0.0053,0.5794,0.0000
1.6800,0.1305,0.0870,0.5794,0.0000,0,0,0.0078,0.0049,0.5794,0.0000
1.6898,0.1340,0.0917,0.5794,0.0000,0,0,0.0076,0.0046,0.5794,0.0000
1.6997,0.1403,0.0923,0.5794,0.0000,0,0,0.0075,0.0045,0.5794,0.0000
1.7105,0.1433,0.0950,0.5794,0.0000,0,0,0.0075,0.0045,0.5794,0.0000
1.7196,0.1387,0.0987,0.5794,0.0000,0,0,0.0074,0.0043,0.5794,0.0000
1.7300,0.1384,0.0975,0.5794,0.0000,0,0,0.0073,0.0042,0.5794,0.0000
1.7396,0.1400,0.0966,0.5794,0.0000,0,0,0.0072,0.0041,0.5794,0.0000
1.7497,0.1403,0.0910,0.5794,0.0000,0,0,0.0071,0.0040,0.5794,0.0000
1.7600,0.1401,0.0873,0.5794,0.0000,0,0,0.0070,0.0039,0.5794,0.0000
1.7698,0.1382,0.0829,0.5794,0.0000,0,0,0.0069,0.0038,0.5794,0.0000
1.7800,0.1413,0.0890,0.5794,0.0000,0,0,0.0068,0.0037,0.5794,0.0000
1.7897,0.1493,0.0928,0.5794,0.0000,0,0,0.0070,0.0039,0.5794,0.0000
1.7996,0.1472,0.0881,0.5794,0.0000,0,0,0.0071,0.0039,0.5794,0.0000
1.8100,0.1469,0.0857,0.5794,0.0000,0,0,0.0071,0.0040,0.5794,0.0000
1.8197,0.1453,0.0917,0.5794,0.0000,0,0,0.0071,0.0040,0.5794,0.0000
1.8300,0.1386,0.0960,0.5794,0.0000,0,0,0.0070,0.0038,0.5794,0.0000
1.8397,0.1406,0.0916,0.5794,0.0000,0,0,0.0068,0.0038,0.5794,0.0000
1.8498,0.1433,0.0831,0.5794,0.0000,0,0,0.0068,0.0037,0.5794,0.0000
1.8605,0.1453,0.0828,0.5794,0.0000,0,0,0.0068,0.0037,0.5794,0.0000
