Time_s,PLX,PLY,EstFreq_Hz,PhaseCorr,SW,RealSW,RLS_A_X,RLS_B_X,RealFreq_Hz,RealPhase
0.0000,0.0016,0.0892,0.5794,0.0000,0,0,0.0000,0.0008,0.6000,0.0000
0.0101,-0.0004,0.0857,0.5794,0.0000,0,0,-0.0001,-0.0002,0.6000,0.0000
0.0207,0.0051,0.0913,0.5794,0.0000,0,0,0.0007,0.0025,0.6000,0.0000
0.0300,0.0026,0.0884,0.5794,0.0000,0,0,-0.0002,0.0014,0.6000,0.0000
0.0402,0.0029,0.0927,0.5794,0.0000,0,0,-0.0000,0.0015,0.6000,0.0000
0.0500,0.0026,0.0947,0.5794,0.0000,0,0,-0.0004,0.0014,0.6000,0.0000
0.0599,0.0049,0.0872,0.5794,0.0000,0,0,0.0030,0.0020,0.6000,0.0000
0.0703,0.0090,0.0935,0.5794,0.0000,0,0,0.0094,0.0031,0.6000,0.0000
0.0800,0.0060,0.0866,0.5794,0.0000,0,0,0.0056,0.0025,0.6000,0.0000
0.0902,0.0044,0.0880,0.5794,0.0000,0,0,0.0032,0.0020,0.6000,0.0000
0.1001,0.0027,0.0970,0.5794,0.0000,0,0,0.0009,0.0015,0.6000,0.0000
0.1101,0.0026,0.0795,0.5794,0.0000,0,0,0.0004,0.0014,0.6000,0.0000
0.1208,0.0004,0.0833,0.5794,0.0000,0,0,-0.0013,0.0009,0.6000,0.0000
0.1300,-0.0018,0.0909,0.5794,0.0000,0,0,-0.0031,0.0004,0.6000,0.0000
0.1403,0.0004,0.0855,0.5794,0.0000,0,0,-0.0024,0.0006,0.6000,0.0000
0.1500,0.0050,0.0814,0.5794,0.0000,0,0,0.0000,0.0014,0.6000,0.0000
0.1599,0.0014,0.0804,0.5794,0.0000,0,0,-0.0005,0.0012,0.6000,0.0000
0.1704,0.0035,0.0855,0.5794,0.0000,0,0,0.0001,0.0014,0.6000,0.0000
0.1801,0.0063,0.0917,0.5794,0.0000,0,0,0.0013,0.0019,0.6000,0.0000
0.1903,0.0054,0.0780,0.5794,0.0000,0,0,0.0017,0.0020,0.6000,0.0000
0.2000,0.0030,0.0784,0.5794,0.0000,0,0,0.0012,0.0019,0.6000,0.0000
0.2101,-0.0005,0.0881,0.5794,0.0000,0,0,0.0001,0.0014,0.6000,0.0000
0.2203,0.0007,0.0872,0.5794,0.0000,0,0,-0.0002,0.0012,0.6000,0.0000
0.2301,0.0055,0.0897,0.5794,0.0000,0,0,0.0005,0.0015,0.6000,0.0000
0.2407,0.0035,0.0807,0.5794,0.0000,0,0,0.0006,0.0016,0.6000,0.0000
0.2500,0.0042,0.0862,0.5794,0.0000,0,0,0.0008,0.0017,0.6000,0.0000
0.2600,0.0046,0.0917,0.5794,0.0000,0,0,0.0010,0.0018,0.6000,0.0000
0.2703,-0.0006,0.0885,0.5794,0.0000,0,0,0.0004,0.0015,0.6000,0.0000
0.2800,0.0025,0.0865,0.5794,0.0000,0,0,0.0004,0.0015,0.6000,0.0000
0.2903,0.0011,0.0850,0.5794,0.0000,0,0,0.0002,0.0014,0.6000,0.0000
