log,method,input_csv
00000443,baseline_3axis_logsw,analysis/replay/results/diagnostics/dual_component_frequency_2026-04-04/runs/00000443/00000443_dual_eval_result.csv
00000443,xy_always_on,analysis/replay/results/diagnostics/xy_ekf_2026-04-05/runs/00000443/xy_always_on/00000443_xy_always_on_result.csv
00000443,xy_sw_hold,analysis/replay/results/diagnostics/xy_ekf_2026-04-05/runs/00000443/xy_sw_hold/00000443_xy_sw_hold_result.csv
00000443,xy_sw_amp_gate,analysis/replay/results/diagnostics/xy_ekf_2026-04-05/runs/00000443/xy_sw_amp_gate/00000443_xy_sw_amp_gate_result.csv
00000443,fixed_init_045,analysis/replay/results/diagnostics/single_freq_2026-04-05/runs/00000443/00000443_fixed_0p45Hz_result.csv
00000443,fixed_init_060,analysis/replay/results/diagnostics/single_freq_2026-04-05/runs/00000443/00000443_fixed_0p60Hz_result.csv
00000444,baseline_3axis_logsw,analysis/replay/results/diagnostics/dual_component_frequency_2026-04-04/runs/00000444/00000444_dual_eval_result.csv
00000444,xy_always_on,analysis/replay/results/diagnostics/xy_ekf_2026-04-05/runs/00000444/xy_always_on/00000444_xy_always_on_result.csv
00000444,xy_sw_hold,analysis/replay/results/diagnostics/xy_ekf_2026-04-05/runs/00000444/xy_sw_hold/00000444_xy_sw_hold_result.csv
00000444,xy_sw_amp_gate,analysis/replay/results/diagnostics/xy_ekf_2026-04-05/runs/00000444/xy_sw_amp_gate/00000444_xy_sw_amp_gate_result.csv
00000444,fixed_init_045,analysis/replay/results/diagnostics/single_freq_2026-04-05/runs/00000444/00000444_fixed_0p45Hz_result.csv
00000444,fixed_init_060,analysis/replay/results/diagnostics/single_freq_2026-04-05/runs/00000444/00000444_fixed_0p60Hz_result.csv
