Time_s,PLX,PLY,PLZ,EstFreq_Hz,SW,RealSW,DX,VX,CX,PRX,RealFreq_Hz,RealPhase
0.0000,0.2187,0.1575,-23.4793,0.6000,1,0,0.1093,-0.0144,0.1093,0.2185,0.6000,0.0000
0.0101,0.2169,0.1587,-23.4843,0.6000,1,0,0.1091,-0.0381,0.1084,0.2172,0.6000,0.0000
0.0199,0.2163,0.1587,-23.4883,0.6000,1,0,0.1093,-0.0613,0.1075,0.2161,0.6000,0.0000
0.0306,0.2176,0.1548,-23.4882,0.6000,1,0,0.1070,-0.0625,0.1099,0.2162,0.6000,0.0000
0.0403,0.2194,0.1566,-23.4811,0.6000,1,0,0.1011,-0.0462,0.1168,0.2174,0.6000,0.0000
0.0500,0.2138,0.1609,-23.4782,0.6000,1,0,0.1083,-0.0949,0.1072,0.2146,0.6000,0.0000
0.0600,0.2175,0.1589,-23.4792,0.6000,1,0,0.1001,-0.0847,0.1159,0.2152,0.6000,0.0000
0.0701,0.2242,0.1574,-23.4862,0.6000,1,0,0.0729,-0.0209,0.1469,0.2196,0.6000,0.0000
0.0804,0.2184,0.1645,-23.4954,0.6000,1,0,0.0764,-0.0410,0.1426,0.2186,0.6000,0.0000
0.0909,0.2147,0.1668,-23.4855,0.6000,1,0,0.0896,-0.0843,0.1270,0.2158,0.6000,0.0000
0.1000,0.2138,0.1634,-23.4785,0.6000,1,0,0.0959,-0.1131,0.1190,0.2137,0.6000,0.0000
0.1100,0.2149,0.1577,-23.4853,0.6000,1,0,0.0902,-0.1167,0.1241,0.2131,0.6000,0.0000
0.1199,0.2157,0.1541,-23.4885,0.6000,1,0,0.0794,-0.1086,0.1350,0.2133,0.6000,0.0000
0.1302,0.2198,0.1531,-23.4945,0.6000,1,0,0.0543,-0.0669,0.1623,0.2159,0.6000,0.0000
0.1404,0.2205,0.1599,-23.4963,0.6000,1,0,0.0367,-0.0368,0.1815,0.2178,0.6000,0.0000
0.1500,0.2197,0.1620,-23.4835,0.6000,1,0,0.0297,-0.0268,0.1891,0.2185,0.6000,0.0000
0.1600,0.2178,0.1637,-23.4752,0.6000,1,0,0.0317,-0.0363,0.1865,0.2178,0.6000,0.0000
0.1701,0.2142,0.1618,-23.4773,0.6000,1,0,0.0426,-0.0685,0.1734,0.2154,0.6000,0.0000
0.1803,0.2173,0.1597,-23.4810,0.6000,1,0,0.0362,-0.0601,0.1801,0.2157,0.6000,0.0000
0.1903,0.2176,0.1614,-23.4893,0.6000,1,0,0.0304,-0.0515,0.1862,0.2161,0.6000,0.0000
0.2000,0.2206,0.1615,-23.4873,0.6000,1,0,0.0180,-0.0232,0.2003,0.2181,0.6000,0.0000
0.2100,0.2191,0.1617,-23.4872,0.6000,1,0,0.0153,-0.0188,0.2032,0.2184,0.6000,0.0000
0.2199,0.2144,0.1570,-23.4862,0.6000,1,0,0.0243,-0.0481,0.1922,0.2160,0.6000,0.0000
0.2303,0.2110,0.1530,-23.4769,0.6000,1,0,0.0344,-0.0845,0.1792,0.2127,0.6000,0.0000
0.2402,0.2106,0.1571,-23.4833,0.6000,1,0,0.0376,-0.1028,0.1741,0.2107,0.6000,0.0000
0.2500,0.2120,0.1625,-23.5005,0.6000,1,0,0.0343,-0.1001,0.1770,0.2103,0.6000,0.0000
0.2600,0.2168,0.1591,-23.4938,0.6000,1,0,0.0223,-0.0657,0.1911,0.2127,0.6000,0.0000
0.2701,0.2145,0.1550,-23.4841,0.6000,1,0,0.0188,-0.0583,0.1948,0.2130,0.6000,0.0000
0.2804,0.2177,0.1550,-23.4783,0.6000,1,0,0.0114,-0.0344,0.2038,0.2149,0.6000,0.0000
0.2909,0.2176,0.1631,-23.4771,0.6000,1,0,0.0074,-0.0210,0.2088,0.2159,0.6000,0.0000
0.3000,0.2184,0.1645,-23.4832,0.6000,1,0,0.0042,-0.0090,0.2129,0.2170,0.6000,0.0000
0.3101,0.2230,0.1600,-23.4936,0.6000,1,0,-0.0029,0.0215,0.2227,0.2200,0.6000,0.0000
0.3200,0.2180,0.1544,-23.4946,0.6000,1,0,-0.0005,0.0117,0.2196,0.2192,0.6000,0.0000
0.3303,0.2184,0.1508,-23.4856,0.6000,1,0,0.0004,0.0079,0.2184,0.2189,0.6000,0.0000
0.3403,0.2157,0.1593,-23.4852,0.6000,1,0,0.0034,-0.0073,0.2140,0.2174,0.6000,0.0000
0.3499,0.2136,0.1649,-23.4841,0.6000,1,0,0.0066,-0.0254,0.2090,0.2154,0.6000,0.0000
0.3600,0.2170,0.1618,-23.4879,0.6000,1,0,0.0050,-0.0188,0.2111,0.2159,0.6000,0.0000
0.3700,0.2221,0.1562,-23.4909,0.6000,1,0,0.0004,0.0075,0.2184,0.2188,0.6000,0.0000
0.3804,0.2212,0.1596,-23.4941,0.6000,1,0,-0.0012,0.0179,0.2211,0.2201,0.6000,0.0000
0.3903,0.2185,0.1611,-23.4950,0.6000,1,0,-0.0000,0.0113,0.2194,0.2195,0.6000,0.0000
0.4000,0.2184,0.1575,-23.4915,0.6000,1,0,0.0007,0.0067,0.2182,0.2190,0.6000,0.0000
0.4101,0.2195,0.1540,-23.4872,0.6000,1,0,0.0006,0.0083,0.2186,0.2193,0.6000,0.0000
0.4201,0.2174,0.1505,-23.4889,0.6000,1,0,0.0016,0.0009,0.2169,0.2185,0.6000,0.0000
0.4307,0.2208,0.1598,-23.4882,0.6000,1,0,0.0006,0.0095,0.2190,0.2196,0.6000,0.0000
0.4403,0.2164,0.1638,-23.4896,0.6000,1,0,0.0020,-0.0025,0.2162,0.2182,0.6000,0.0000
0.4501,0.2159,0.1635,-23.4904,0.6000,1,0,0.0028,-0.0109,0.2144,0.2170,0.6000,0.0000
0.4600,0.2151,0.1623,-23.4801,0.6000,1,0,0.0034,-0.0181,0.2128,0.2160,0.6000,0.0000
0.4700,0.2198,0.1602,-23.4854,0.6000,1,0,0.0020,-0.0053,0.2157,0.2176,0.6000,0.0000
0.4804,0.2210,0.1583,-23.4922,0.6000,1,0,0.0010,0.0058,0.2182,0.2192,0.6000,0.0000
0.4909,0.2230,0.1562,-23.4856,0.6000,1,0,0.0000,0.0184,0.2209,0.2211,0.6000,0.0000
0.5000,0.2248,0.1490,-23.4826,0.6000,1,0,-0.0007,0.0306,0.2234,0.2230,0.6000,0.0000
0.5100,0.2233,0.1566,-23.4790,0.6000,1,0,-0.0004,0.0315,0.2236,0.2234,0.6000,0.0000
0.5200,0.2237,0.1634,-23.4853,0.6000,1,0,-0.0002,0.0324,0.2237,0.2239,0.6000,0.0000
0.5303,0.2183,0.1613,-23.4897,0.6000,1,0,0.0011,0.0151,0.2203,0.2216,0.6000,0.0000
0.5403,0.2161,0.1549,-23.4920,0.6000,1,0,0.0021,-0.0018,0.2171,0.2191,0.6000,0.0000
0.5500,0.2135,0.1538,-23.4937,0.6000,1,0,0.0028,-0.0190,0.2139,0.2164,0.6000,0.0000
0.5600,0.2113,0.1588,-23.4965,0.6000,1,0,0.0031,-0.0344,0.2111,0.2138,0.6000,0.0000
0.5700,0.2158,0.1614,-23.4874,0.6000,1,0,0.0026,-0.0293,0.2121,0.2144,0.6000,0.0000
0.5803,0.2164,0.1581,-23.4885,0.6000,1,0,0.0022,-0.0240,0.2131,0.2150,0.6000,0.0000
0.5904,0.2134,0.1594,-23.4854,0.6000,1,0,0.0020,-0.0290,0.2123,0.2140,0.6000,0.0000
0.6000,0.2167,0.1612,-23.4824,0.6000,1,0,0.0016,-0.0219,0.2136,0.2150,0.6000,0.0000
0.6100,0.2168,0.1609,-23.4907,0.6000,1,0,0.0013,-0.0173,0.2144,0.2156,0.6000,0.0000
0.6200,0.2119,0.1550,-23.4927,0.6000,1,0,0.0012,-0.0272,0.2128,0.2137,0.6000,0.0000
0.6308,0.2167,0.1532,-23.4872,0.6000,1,0,0.0010,-0.0197,0.2140,0.2148,0.6000,0.0000
0.6403,0.2185,0.1605,-23.4865,0.6000,1,0,0.0008,-0.0104,0.2156,0.2163,0.6000,0.0000
0.6500,0.2123,0.1631,-23.4860,0.6000,1,0,0.0006,-0.0205,0.2140,0.2144,0.6000,0.0000
