tag,kind,samples,mean_hz,std_hz,mae_hz,rmse_hz,p95_abs_step_hz,iqr_abs_step_hz,hf_power_ratio,q_w,r_meas
always_default,key,5449,0.6323990089924757,0.014355344819120845,0.18239900899247566,0.18296304109385883,0.0017000000000000348,0.0006000000000000449,0.013353300078095588,,
always_low_qw,key,5449,0.6107602312350889,0.0017577123195770868,0.160760231235089,0.16076984014222842,0.00039999999999995595,0.00019999999999997797,0.1260328557118364,,
always_high_r,key,5449,0.5846039273261149,0.025515432686619204,0.13460392732611487,0.13700092903626387,0.0008000000000000229,0.00029999999999996696,0.0016632616389102332,,
always_low_qw_high_r,key,5449,0.5747534593503395,0.0014308234972234186,0.12475345935033948,0.12476166428738042,0.00019999999999997797,9.999999999998899e-05,0.01859753836170827,,
noreset_log_ref,key,5449,0.4835278032666544,0.023026926389023556,0.033527803266654416,0.04067373760564662,0.0016999999999999793,0.0004999999999999449,0.012060943440503034,,
grid_qw_0p00000_r_0p08,grid,5449,0.5044458065700128,0.0027440182253970617,0.05444580657001283,0.05451491070414189,0.00039999999999995595,0.00019999999999997797,0.030528604502200626,0.0,0.08
grid_qw_0p00000_r_0p20,grid,5449,0.4863470178014315,0.0006744088633539157,0.03634701780143144,0.03635327399798462,0.00029999999999996696,9.999999999998899e-05,0.33536004097823435,0.0,0.2
grid_qw_0p00000_r_0p50,grid,5449,0.46981293815378966,0.0003987127986278523,0.01981293815378967,0.019816949568025957,0.00020000000000003348,9.999999999998899e-05,0.19243970912697234,0.0,0.5
grid_qw_0p00000_r_1p00,grid,5449,0.46481726922371086,0.00045418164070602595,0.014817269223710764,0.014824228418729947,0.0001000000000000445,9.999999999998899e-05,0.06867600367552157,0.0,1.0
grid_qw_0p00001_r_0p08,grid,5449,0.6107602312350889,0.0017577123195770868,0.160760231235089,0.16076984014222842,0.00039999999999995595,0.00019999999999997797,0.1260328557118364,1e-05,0.08
grid_qw_0p00001_r_0p20,grid,5449,0.5919565424848596,0.0010956887820978399,0.14195654248485962,0.14196077094804382,0.00029999999999996696,9.999999999998899e-05,0.04480398754949458,1e-05,0.2
grid_qw_0p00001_r_0p50,grid,5449,0.5747534593503395,0.0014308234972234186,0.12475345935033948,0.12476166428738042,0.00019999999999997797,9.999999999998899e-05,0.01859753836170827,1e-05,0.5
grid_qw_0p00001_r_1p00,grid,5449,0.5684873554780694,0.001564425985600672,0.11848735547806938,0.1184976828332554,0.00019999999999997797,9.999999999998899e-05,0.009696675945080007,1e-05,1.0
grid_qw_0p00005_r_0p08,grid,5449,0.6429451275463388,0.002986926709571728,0.19294512754633877,0.19296824602778895,0.000500000000000056,0.00010000000000010001,0.019639738418498733,5e-05,0.08
grid_qw_0p00005_r_0p20,grid,5449,0.6231306111213066,0.0059020834239952875,0.17313061112130665,0.17323118395941567,0.00039999999999995595,0.00019999999999997797,0.004271471393674665,5e-05,0.2
grid_qw_0p00005_r_0p50,grid,5449,0.6077181317672967,0.006122138937346654,0.15771813176729677,0.15783690846356108,0.00029999999999996696,9.999999999998899e-05,0.0022832225178971177,5e-05,0.5
grid_qw_0p00005_r_1p00,grid,5449,0.6043545054138374,0.005807847948793898,0.15435450541383738,0.15446373179276313,0.00019999999999997797,9.999999999998899e-05,0.001459960643697515,5e-05,1.0
grid_qw_0p00010_r_0p08,grid,5449,0.6422672967516976,0.006114988434425448,0.19226729675169757,0.19236451461680368,0.0007000000000000339,0.000200000000000089,0.010654642047146093,0.0001,0.08
grid_qw_0p00010_r_0p20,grid,5449,0.6207165902000368,0.010012786652071455,0.1707165902000367,0.17100997066272822,0.0004999999999999449,0.00010000000000010001,0.0028447604560058472,0.0001,0.2
grid_qw_0p00010_r_0p50,grid,5449,0.6056866948063865,0.01029438967033975,0.15568669480638647,0.1560266688692088,0.000300000000000078,0.00019999999999997797,0.0014760322975467474,0.0001,0.5
grid_qw_0p00010_r_1p00,grid,5449,0.6028141310332171,0.009748905495554277,0.1528141310332171,0.15312478506694627,0.000200000000000089,9.999999999998899e-05,0.0009219532861727182,0.0001,1.0
grid_qw_0p00050_r_0p08,grid,5449,0.6323990089924757,0.014355344819120845,0.18239900899247566,0.18296304109385883,0.0017000000000000348,0.0006000000000000449,0.013353300078095588,0.0005,0.08
grid_qw_0p00050_r_0p20,grid,5449,0.6000881629656818,0.023443153606165164,0.15008816296568175,0.15190799226313045,0.0011999999999999789,0.0004999999999999449,0.0037015384037577155,0.0005,0.2
grid_qw_0p00050_r_0p50,grid,5449,0.5846039273261149,0.025515432686619204,0.13460392732611487,0.13700092903626387,0.0008000000000000229,0.00029999999999996696,0.0016632616389102332,0.0005,0.5
grid_qw_0p00050_r_1p00,grid,5449,0.5814769131950817,0.02562447113511404,0.13147691319508167,0.13395070818872637,0.0005999999999999339,0.00019999999999997797,0.0009458376726054796,0.0005,1.0
grid_qw_0p00100_r_0p08,grid,5449,0.6298403743806203,0.01625495030340513,0.17984037438062028,0.18057348550307112,0.002564999999999942,0.0010000000000000009,0.021178103228496056,0.001,0.08
grid_qw_0p00100_r_0p20,grid,5449,0.5891116902183886,0.028597114951413132,0.13911169021838868,0.1420206229354078,0.0018000000000000238,0.0006000000000000449,0.005873501711044696,0.001,0.2
grid_qw_0p00100_r_0p50,grid,5449,0.572303266654432,0.032442135400715104,0.12230326665443199,0.12653292529497384,0.0011999999999999789,0.0004999999999999449,0.002499411027387936,0.001,0.5
grid_qw_0p00100_r_1p00,grid,5449,0.567914314553129,0.03371401809685494,0.117914314553129,0.12263939250000104,0.0008999999999999009,0.000300000000000078,0.0013448480154287833,0.001,1.0
