Time_s,PLX,PLY,PLZ,EstFreq_Hz,SW,RealSW,DX,VX,CX,PRX,RealFreq_Hz,RealPhase
0.0000,-1.6220,0.4482,3.5611,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.0101,-1.0750,0.2610,3.7692,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.0199,-1.3986,0.5625,3.5335,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.0305,-1.5756,0.6806,3.5213,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.0399,-1.5335,0.0111,3.5535,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.0500,-1.8089,-0.0744,3.4512,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.0600,-1.7770,0.3795,3.4014,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.0703,-2.0100,0.0440,3.2670,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.0803,-1.6811,-0.1313,3.3242,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.0900,-1.8152,0.1097,3.4057,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.1000,-1.9317,0.3494,3.2574,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.1101,-1.6860,0.1234,3.5258,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.1208,-1.7638,0.0281,3.5478,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.1302,-1.7034,0.2500,3.4640,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.1399,-1.5852,0.3429,3.6718,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.1500,-1.7118,0.3330,3.4705,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.1600,-1.5819,0.3406,3.5285,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.1704,-0.8847,0.3202,3.8740,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.1809,-0.9830,0.1048,3.7371,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.1900,-1.0339,-0.0519,3.8896,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.2000,-1.0241,-0.1406,3.8968,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.2101,-1.4562,-0.2627,3.7085,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.2202,-1.1783,-0.3111,3.7953,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.2303,-1.3173,-0.2273,3.8081,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.2400,-1.2904,0.0044,3.7737,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.2501,-1.1395,0.0805,3.9719,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.2599,-1.4485,0.1708,3.8131,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.2703,-1.1031,0.2268,3.9676,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.2802,-0.9067,0.2257,4.1438,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.2901,-1.0570,0.5100,3.9449,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.3000,-0.9916,0.3107,4.1366,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.3101,-0.9976,0.1505,4.3062,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.3208,-1.6209,0.2316,4.0434,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.3303,-1.6662,-0.0184,4.2577,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
0.3399,-1.3650,-0.0393,4.3307,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015481.0000
