log,method,method_label,mean_hz,std_hz,mae_hz,p95_step_hz
00000443_w35_100,baseline_3axis_logsw,"Baseline EKF (3-axis, log SW)",0.5546612192262602,0.0012970238870827235,0.10466121922626029,0.0
00000443_w35_100,xy_always_on,XY EKF always-on,0.5546612192262602,0.0012970238870827235,0.10466121922626029,0.0
00000443_w35_100,xy_hold_omega_off,XY EKF hold-omega-off,0.5438347713950763,0.008644071125788636,0.09383477139507622,0.0
00000443_w35_100,fixed_045,Fixed init 0.45Hz (q_w=1e-9),0.4689231887456037,8.909685321044021e-05,0.01892318874560372,0.0
00000443_w35_100,fixed_060,Fixed init 0.60Hz (q_w=1e-9),0.5584610785463071,0.00023247434967332403,0.10846107854630718,0.0
00000443_w40_110,baseline_3axis_logsw,"Baseline EKF (3-axis, log SW)",0.550716049382716,0.0008670976166289695,0.10071604938271604,0.0
00000443_w40_110,xy_always_on,XY EKF always-on,0.550716049382716,0.0008670976166289695,0.10071604938271604,0.0
00000443_w40_110,xy_hold_omega_off,XY EKF hold-omega-off,0.5462465527065528,0.007473786033184516,0.09624655270655273,0.0
00000443_w40_110,fixed_045,Fixed init 0.45Hz (q_w=1e-9),0.45738434947768275,6.875696903096185e-05,0.0073843494776827745,0.0
00000443_w40_110,fixed_060,Fixed init 0.60Hz (q_w=1e-9),0.5533370180436847,0.0001600422447114406,0.10333701804368468,0.0
