TimeUS,PLX,PLY,PLZ,SW,RealFreq,RealPhase
0,0.0,0.0,0.0,1,0.45,0.0
10000,0.0,0.028270566770273252,0.0,1,0.45,0.0
20000,0.0,0.05651853448202453,0.0,1,0.45,0.0
30000,0.0,0.08472132214207344,0.0,1,0.45,0.0
40000,0.0,0.11285638487348168,0.0,1,0.45,0.0
50000,0.0,0.14090123193758267,0.0,1,0.45,0.0
60000,0.0,0.16883344471273387,0.0,1,0.45,0.0
70000,0.0,0.19663069461542007,0.0,1,0.45,0.0
80000,0.0,0.22427076094938117,0.0,1,0.45,0.0
90000,0.0,0.25173154866849706,0.0,1,0.45,0.0
100000,0.0,0.2789911060392293,0.0,1,0.45,0.0
110000,0.0,0.30602764218850076,0.0,1,0.45,0.0
120000,0.0,0.3328195445229866,0.0,1,0.45,0.0
130000,0.0,0.35934539600589066,0.0,1,0.45,0.0
140000,0.0,0.38558399227739654,0.0,1,0.45,0.0
150000,0.0,0.41151435860510877,0.0,1,0.45,0.0
160000,0.0,0.4371157666509329,0.0,1,0.45,0.0
170000,0.0,0.4623677510409918,0.0,1,0.45,0.0
180000,0.0,0.4872501257253323,0.0,1,0.45,0.0
190000,0.0,0.5117430001143449,0.0,1,0.45,0.0
200000,0.0,0.5358267949789967,0.0,1,0.45,0.0
210000,0.0,0.5594822581021669,0.0,1,0.45,0.0
220000,0.0,0.5826904796685761,0.0,1,0.45,0.0
230000,0.0,0.6054329073810014,0.0,1,0.45,0.0
240000,0.0,0.6276913612907005,0.0,1,0.45,0.0
250000,0.0,0.6494480483301837,0.0,1,0.45,0.0
260000,0.0,0.67068557653672,0.0,1,0.45,0.0
270000,0.0,0.6913869689552065,0.0,1,0.45,0.0
280000,0.0,0.7115356772092853,0.0,1,0.45,0.0
290000,0.0,0.7311155947298641,0.0,1,0.45,0.0
300000,0.0,0.7501110696304595,0.0,1,0.45,0.0
310000,0.0,0.7685069172190766,0.0,1,0.45,0.0
320000,0.0,0.7862884321366189,0.0,1,0.45,0.0
330000,0.0,0.8034414001121276,0.0,1,0.45,0.0
340000,0.0,0.8199521093254524,0.0,1,0.45,0.0
350000,0.0,0.8358073613682703,0.0,1,0.45,0.0
360000,0.0,0.8509944817946918,0.0,1,0.45,0.0
370000,0.0,0.8655013302530189,0.0,1,0.45,0.0
380000,0.0,0.8793163101905562,0.0,1,0.45,0.0
390000,0.0,0.8924283781237179,0.0,1,0.45,0.0
400000,0.0,0.9048270524660196,0.0,1,0.45,0.0
410000,0.0,0.916502421906898,0.0,1,0.45,0.0
420000,0.0,0.9274451533346613,0.0,1,0.45,0.0
430000,0.0,0.9376464992972355,0.0,1,0.45,0.0
440000,0.0,0.9470983049947443,0.0,1,0.45,0.0
450000,0.0,0.9557930147983301,0.0,1,0.45,0.0
460000,0.0,0.9637236782900097,0.0,1,0.45,0.0
470000,0.0,0.970883955818731,0.0,1,0.45,0.0
480000,0.0,0.9772681235681935,0.0,1,0.45,0.0
490000,0.0,0.9828710781323792,0.0,1,0.45,0.0
500000,0.0,0.9876883405951378,0.0,1,0.45,0.0
510000,0.0,0.9917160601105629,0.0,1,0.45,0.0
520000,0.0,0.9949510169813002,0.0,1,0.45,0.0
530000,0.0,0.9973906252323237,0.0,1,0.45,0.0
540000,0.0,0.9990329346781247,0.0,1,0.45,0.0
550000,0.0,0.9998766324816606,0.0,1,0.45,0.0
560000,0.0,0.9999210442038161,0.0,1,0.45,0.0
570000,0.0,0.9991661343425401,0.0,1,0.45,0.0
580000,0.0,0.9976125063612252,0.0,1,0.45,0.0
590000,0.0,0.9952614022063083,0.0,1,0.45,0.0
600000,0.0,0.9921147013144779,0.0,1,0.45,0.0
610000,0.0,0.9881749191102805,0.0,1,0.45,0.0
620000,0.0,0.9834452049953297,0.0,1,0.45,0.0
630000,0.0,0.9779293398307218,0.0,1,0.45,0.0
640000,0.0,0.971631732914674,0.0,1,0.45,0.0
650000,0.0,0.9645574184577981,0.0,1,0.45,0.0
660000,0.0,0.9567120515588304,0.0,1,0.45,0.0
670000,0.0,0.948101903684032,0.0,1,0.45,0.0
680000,0.0,0.9387338576538741,0.0,1,0.45,0.0
690000,0.0,0.9286154021410173,0.0,1,0.45,0.0
700000,0.0,0.9177546256839811,0.0,1,0.45,0.0
710000,0.0,0.9061602102212899,0.0,1,0.45,0.0
720000,0.0,0.8938414241512639,0.0,1,0.45,0.0
730000,0.0,0.8808081149230037,0.0,1,0.45,0.0
740000,0.0,0.8670707011644901,0.0,1,0.45,0.0
750000,0.0,0.8526401643540923,0.0,1,0.45,0.0
760000,0.0,0.8375280400421418,0.0,1,0.45,0.0
770000,0.0,0.8217464086295903,0.0,1,0.45,0.0
780000,0.0,0.805307885711122,0.0,1,0.45,0.0
790000,0.0,0.7882256119904401,0.0,1,0.45,0.0
800000,0.0,0.7705132427757893,0.0,1,0.45,0.0
810000,0.0,0.7521849370641114,0.0,1,0.45,0.0
