Time_s,PLX,PLY,PLZ,EstFreq_Hz,SW,RealSW,DX,VX,CX,PRX,RealFreq_Hz,RealPhase
0.0000,0.0000,0.0000,0.0000,0.6000,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.0100,0.0000,0.0283,0.0000,0.6000,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.0200,0.0000,0.0565,0.0000,0.6000,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.0300,0.0000,0.0847,0.0000,0.6000,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.0400,0.0000,0.1129,0.0000,0.5999,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.0500,0.0000,0.1409,0.0000,0.5999,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.0600,0.0000,0.1688,0.0000,0.6002,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.0700,0.0000,0.1966,0.0000,0.6009,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.0800,0.0000,0.2243,0.0000,0.6019,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.0900,0.0000,0.2517,0.0000,0.6031,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.1000,0.0000,0.2790,0.0000,0.6043,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.1100,0.0000,0.3060,0.0000,0.6053,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.1200,0.0000,0.3328,0.0000,0.6060,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.1300,0.0000,0.3593,0.0000,0.6061,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.1400,0.0000,0.3856,0.0000,0.6058,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.1500,0.0000,0.4115,0.0000,0.6050,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.1600,0.0000,0.4371,0.0000,0.6039,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.1700,0.0000,0.4624,0.0000,0.6025,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.1800,0.0000,0.4873,0.0000,0.6009,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.1900,0.0000,0.5117,0.0000,0.5994,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.2000,0.0000,0.5358,0.0000,0.5980,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.2100,0.0000,0.5595,0.0000,0.5968,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.2200,0.0000,0.5827,0.0000,0.5959,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.2300,0.0000,0.6054,0.0000,0.5953,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.2400,0.0000,0.6277,0.0000,0.5950,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.2500,0.0000,0.6494,0.0000,0.5951,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.2600,0.0000,0.6707,0.0000,0.5955,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.2700,0.0000,0.6914,0.0000,0.5963,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.2800,0.0000,0.7115,0.0000,0.5974,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.2900,0.0000,0.7311,0.0000,0.5988,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.3000,0.0000,0.7501,0.0000,0.6004,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.3100,0.0000,0.7685,0.0000,0.6022,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.3200,0.0000,0.7863,0.0000,0.6041,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.3300,0.0000,0.8034,0.0000,0.6061,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.3400,0.0000,0.8200,0.0000,0.6082,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.3500,0.0000,0.8358,0.0000,0.6102,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.3600,0.0000,0.8510,0.0000,0.6122,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.3700,0.0000,0.8655,0.0000,0.6140,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.3800,0.0000,0.8793,0.0000,0.6156,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.3900,0.0000,0.8924,0.0000,0.6171,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.4000,0.0000,0.9048,0.0000,0.6183,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.4100,0.0000,0.9165,0.0000,0.6192,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.4200,0.0000,0.9274,0.0000,0.6199,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.4300,0.0000,0.9376,0.0000,0.6204,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.4400,0.0000,0.9471,0.0000,0.6206,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.4500,0.0000,0.9558,0.0000,0.6205,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.4600,0.0000,0.9637,0.0000,0.6203,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.4700,0.0000,0.9709,0.0000,0.6198,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.4800,0.0000,0.9773,0.0000,0.6191,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.4900,0.0000,0.9829,0.0000,0.6183,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.5000,0.0000,0.9877,0.0000,0.6174,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.5100,0.0000,0.9917,0.0000,0.6164,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.5200,0.0000,0.9950,0.0000,0.6152,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.5300,0.0000,0.9974,0.0000,0.6140,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.5400,0.0000,0.9990,0.0000,0.6127,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.5500,0.0000,0.9999,0.0000,0.6114,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.5600,0.0000,0.9999,0.0000,0.6101,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.5700,0.0000,0.9992,0.0000,0.6087,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.5800,0.0000,0.9976,0.0000,0.6073,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
0.5900,0.0000,0.9953,0.0000,0.6060,1,1,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000
