Time_s,PLX,PLY,PLZ,EstFreq_Hz,SW,RealSW,DX,VX,CX,PRX,RealFreq_Hz,RealPhase
0.0000,0.0000,0.0000,0.0000,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.0100,0.0600,0.0000,0.0000,0.6000,0,0,0.0013,0.3174,0.0336,0.0380,0.6000,0.0000
0.0200,0.1171,0.0000,0.0000,0.6000,0,0,-0.0391,0.9983,0.1181,0.0889,0.6000,0.0000
0.0300,0.1689,0.0000,0.0000,0.6000,0,0,-0.1202,1.7938,0.2504,0.1481,0.6000,0.0000
0.0400,0.2142,0.0000,0.0000,0.6002,0,0,-0.2127,2.4649,0.3950,0.2070,0.6000,0.0000
0.0500,0.2528,0.0000,0.0000,0.6007,0,0,-0.2861,2.9289,0.5168,0.2600,0.6000,0.0000
0.0600,0.2859,0.0000,0.0000,0.6016,0,0,-0.3234,3.2039,0.5966,0.3053,0.6000,0.0000
0.0700,0.3157,0.0000,0.0000,0.6022,0,0,-0.3219,3.3406,0.6325,0.3440,0.6000,0.0000
0.0800,0.3448,0.0000,0.0000,0.6023,0,0,-0.2913,3.3940,0.6357,0.3783,0.6000,0.0000
0.0900,0.3759,0.0000,0.0000,0.6020,0,0,-0.2488,3.4149,0.6259,0.4113,0.6000,0.0000
0.1000,0.4107,0.0000,0.0000,0.6019,0,0,-0.2128,3.4463,0.6238,0.4455,0.6000,0.0000
0.1100,0.4503,0.0000,0.0000,0.6027,0,0,-0.1964,3.5172,0.6443,0.4831,0.6000,0.0000
0.1200,0.4942,0.0000,0.0000,0.6047,0,0,-0.2030,3.6381,0.6916,0.5250,0.6000,0.0000
0.1300,0.5408,0.0000,0.0000,0.6075,0,0,-0.2250,3.7982,0.7579,0.5709,0.6000,0.0000
0.1400,0.5878,0.0000,0.0000,0.6104,0,0,-0.2475,3.9692,0.8268,0.6190,0.6000,0.0000
0.1500,0.6321,0.0000,0.0000,0.6126,0,0,-0.2529,4.1116,0.8784,0.6666,0.6000,0.0000
0.1600,0.6711,0.0000,0.0000,0.6134,0,0,-0.2265,4.1849,0.8953,0.7107,0.6000,0.0000
0.1700,0.7030,0.0000,0.0000,0.6121,0,0,-0.1604,4.1574,0.8673,0.7484,0.6000,0.0000
0.1800,0.7268,0.0000,0.0000,0.6121,0,0,-0.0553,4.0140,0.7930,0.7779,0.6000,0.0000
0.1900,0.7431,0.0000,0.0000,0.6039,0,0,0.0804,3.7607,0.6803,0.7983,0.6000,0.0000
0.2000,0.7536,0.0000,0.0000,0.5986,0,0,0.2331,3.4227,0.5433,0.8106,0.6000,0.0000
0.2100,0.7609,0.0000,0.0000,0.5945,0,0,0.3871,3.0382,0.3991,0.8166,0.6000,0.0000
0.2200,0.7676,0.0000,0.0000,0.5932,0,0,0.5283,2.6490,0.2645,0.8192,0.6000,0.0000
0.2300,0.7765,0.0000,0.0000,0.5950,0,0,0.6456,2.2916,0.1529,0.8215,0.6000,0.0000
0.2400,0.7894,0.0000,0.0000,0.5991,0,0,0.7329,1.9924,0.0731,0.8259,0.6000,0.0000
0.2500,0.8070,0.0000,0.0000,0.6033,0,0,0.7888,1.7657,0.0280,0.8345,0.6000,0.0000
0.2600,0.8286,0.0000,0.0000,0.6053,0,0,0.8170,1.6142,0.0147,0.8478,0.6000,0.0000
0.2700,0.8526,0.0000,0.0000,0.6032,0,0,0.8250,1.5278,0.0251,0.8654,0.6000,0.0000
0.2800,0.8764,0.0000,0.0000,0.5974,0,0,0.8230,1.4839,0.0477,0.8855,0.6000,0.0000
0.2900,0.8972,0.0000,0.0000,0.5903,0,0,0.8208,1.4492,0.0704,0.9057,0.6000,0.0000
0.3000,0.9128,0.0000,0.0000,0.5855,0,0,0.8259,1.3865,0.0833,0.9230,0.6000,0.0000
0.3100,0.9216,0.0000,0.0000,0.5865,0,0,0.8414,1.2648,0.0810,0.9350,0.6000,0.0000
0.3200,0.9233,0.0000,0.0000,0.5953,0,0,0.8660,1.0673,0.0633,0.9400,0.6000,0.0000
0.3300,0.9188,0.0000,0.0000,0.6115,0,0,0.8954,0.7955,0.0343,0.9376,0.6000,0.0000
0.3400,0.9101,0.0000,0.0000,0.6327,0,0,0.9237,0.4680,0.0005,0.9289,0.6000,0.0000
0.3500,0.9001,0.0000,0.0000,0.6551,0,0,0.9460,0.1169,-0.0311,0.9160,0.6000,0.0000
0.3600,0.8915,0.0000,0.0000,0.6740,0,0,0.9591,-0.2184,-0.0550,0.9019,0.6000,0.0000
0.3700,0.8869,0.0000,0.0000,0.6856,0,0,0.9626,-0.4983,-0.0680,0.8896,0.6000,0.0000
0.3800,0.8876,0.0000,0.0000,0.6871,0,0,0.9581,-0.6913,-0.0695,0.8817,0.6000,0.0000
0.3900,0.8940,0.0000,0.0000,0.6780,0,0,0.9492,-0.7823,-0.0615,0.8799,0.6000,0.0000
0.4000,0.9050,0.0000,0.0000,0.6597,0,0,0.9394,-0.7768,-0.0473,0.8843,0.6000,0.0000
0.4100,0.9186,0.0000,0.0000,0.6355,0,0,0.9319,-0.7005,-0.0308,0.8940,0.6000,0.0000
0.4200,0.9321,0.0000,0.0000,0.6097,0,0,0.9279,-0.5918,-0.0154,0.9066,0.6000,0.0000
0.4300,0.9426,0.0000,0.0000,0.5862,0,0,0.9272,-0.4919,-0.0032,0.9191,0.6000,0.0000
0.4400,0.9481,0.0000,0.0000,0.5682,0,0,0.9282,-0.4351,0.0048,0.9287,0.6000,0.0000
0.4500,0.9470,0.0000,0.0000,0.5574,0,0,0.9285,-0.4424,0.0089,0.9330,0.6000,0.0000
0.4600,0.9395,0.0000,0.0000,0.5538,0,0,0.9261,-0.5190,0.0100,0.9309,0.6000,0.0000
0.4700,0.9266,0.0000,0.0000,0.5561,0,0,0.9194,-0.6552,0.0095,0.9223,0.6000,0.0000
0.4800,0.9105,0.0000,0.0000,0.5621,0,0,0.9084,-0.8305,0.0084,0.9085,0.6000,0.0000
0.4900,0.8940,0.0000,0.0000,0.5693,0,0,0.8941,-1.0182,0.0076,0.8915,0.6000,0.0000
0.5000,0.8798,0.0000,0.0000,0.5748,0,0,0.8787,-1.1910,0.0073,0.8741,0.6000,0.0000
0.5100,0.8697,0.0000,0.0000,0.5768,0,0,0.8648,-1.3267,0.0073,0.8588,0.6000,0.0000
0.5200,0.8650,0.0000,0.0000,0.5741,0,0,0.8545,-1.4117,0.0072,0.8476,0.6000,0.0000
0.5300,0.8653,0.0000,0.0000,0.5667,0,0,0.8493,-1.4435,0.0064,0.8413,0.6000,0.0000
0.5400,0.8691,0.0000,0.0000,0.5555,0,0,0.8492,-1.4306,0.0049,0.8397,0.6000,0.0000
0.5500,0.8741,0.0000,0.0000,0.5422,0,0,0.8530,-1.3901,0.0025,0.8415,0.6000,0.0000
0.5600,0.8773,0.0000,0.0000,0.5288,0,0,0.8583,-1.3440,-0.0005,0.8443,0.6000,0.0000
0.5700,0.8760,0.0000,0.0000,0.5174,0,0,0.8621,-1.3144,-0.0034,0.8455,0.6000,0.0000
0.5800,0.8680,0.0000,0.0000,0.5096,0,0,0.8614,-1.3197,-0.0058,0.8425,0.6000,0.0000
0.5900,0.8525,0.0000,0.0000,0.5063,0,0,0.8539,-1.3711,-0.0069,0.8333,0.6000,0.0000
0.6000,0.8296,0.0000,0.0000,0.5075,0,0,0.8380,-1.4707,-0.0064,0.8169,0.6000,0.0000
0.6100,0.8009,0.0000,0.0000,0.5125,0,0,0.8140,-1.6119,-0.0043,0.7936,0.6000,0.0000
0.6200,0.7687,0.0000,0.0000,0.5202,0,0,0.7833,-1.7807,-0.0008,0.7647,0.6000,0.0000
0.6300,0.7358,0.0000,0.0000,0.5288,0,0,0.7484,-1.9594,0.0035,0.7323,0.6000,0.0000
0.6400,0.7049,0.0000,0.0000,0.5368,0,0,0.7124,-2.1297,0.0077,0.6988,0.6000,0.0000
0.6500,0.6775,0.0000,0.0000,0.5428,0,0,0.6784,-2.2767,0.0110,0.6666,0.6000,0.0000
0.6600,0.6546,0.0000,0.0000,0.5460,0,0,0.6485,-2.3917,0.0128,0.6374,0.6000,0.0000
0.6700,0.6356,0.0000,0.0000,0.5465,0,0,0.6235,-2.4735,0.0131,0.6119,0.6000,0.0000
0.6800,0.6186,0.0000,0.0000,0.5448,0,0,0.6027,-2.5280,0.0122,0.5895,0.6000,0.0000
0.6900,0.6012,0.0000,0.0000,0.5420,0,0,0.5841,-2.5667,0.0106,0.5690,0.6000,0.0000
0.7000,0.5807,0.0000,0.0000,0.5394,0,0,0.5650,-2.6035,0.0091,0.5481,0.6000,0.0000
0.7100,0.5545,0.0000,0.0000,0.5380,0,0,0.5425,-2.6519,0.0084,0.5244,0.6000,0.0000
0.7200,0.5210,0.0000,0.0000,0.5387,0,0,0.5142,-2.7221,0.0087,0.4957,0.6000,0.0000
0.7300,0.4798,0.0000,0.0000,0.5417,0,0,0.4786,-2.8193,0.0102,0.4606,0.6000,0.0000
0.7400,0.4316,0.0000,0.0000,0.5470,0,0,0.4357,-2.9422,0.0124,0.4187,0.6000,0.0000
0.7500,0.3784,0.0000,0.0000,0.5538,0,0,0.3864,-3.0841,0.0149,0.3705,0.6000,0.0000
0.7600,0.3230,0.0000,0.0000,0.5613,0,0,0.3330,-3.2341,0.0171,0.3177,0.6000,0.0000
0.7700,0.2684,0.0000,0.0000,0.5684,0,0,0.2781,-3.3794,0.0184,0.2628,0.6000,0.0000
0.7800,0.2169,0.0000,0.0000,0.5744,0,0,0.2246,-3.5081,0.0186,0.2081,0.6000,0.0000
0.7900,0.1705,0.0000,0.0000,0.5787,0,0,0.1743,-3.6114,0.0177,0.1559,0.6000,0.0000
0.8000,0.1295,0.0000,0.0000,0.5813,0,0,0.1283,-3.6849,0.0163,0.1078,0.6000,0.0000
0.8100,0.0931,0.0000,0.0000,0.5824,0,0,0.0865,-3.7293,0.0150,0.0642,0.6000,0.0000
0.8200,0.0596,0.0000,0.0000,0.5824,0,0,0.0478,-3.7493,0.0144,0.0248,0.6000,0.0000
0.8300,0.0265,0.0000,0.0000,0.5824,0,0,0.0108,-3.7527,0.0147,-0.0120,0.6000,0.0000
0.8400,-0.0090,0.0000,0.0000,0.5824,0,0,-0.0261,-3.7488,0.0153,-0.0482,0.6000,0.0000
0.8500,-0.0490,0.0000,0.0000,0.5824,0,0,-0.0637,-3.7466,0.0152,-0.0860,0.6000,0.0000
0.8600,-0.0946,0.0000,0.0000,0.5824,0,0,-0.1023,-3.7534,0.0126,-0.1272,0.6000,0.0000
0.8700,-0.1459,0.0000,0.0000,0.5814,0,0,-0.1414,-3.7735,0.0063,-0.1728,0.6000,0.0000
0.8800,-0.2015,0.0000,0.0000,0.5793,0,0,-0.1802,-3.8078,-0.0047,-0.2231,0.6000,0.0000
0.8900,-0.2593,0.0000,0.0000,0.5758,0,0,-0.2181,-3.8531,-0.0204,-0.2770,0.6000,0.0000
0.9000,-0.3162,0.0000,0.0000,0.5710,0,0,-0.2545,-3.9023,-0.0391,-0.3327,0.6000,0.0000
0.9100,-0.3695,0.0000,0.0000,0.5657,0,0,-0.2900,-3.9456,-0.0583,-0.3878,0.6000,0.0000
0.9200,-0.4167,0.0000,0.0000,0.5609,0,0,-0.3255,-3.9715,-0.0747,-0.4399,0.6000,0.0000
