Time_s,PLX,PLY,PLZ,EstFreq_Hz,SW,RealSW,DX,VX,CX,PRX,RealFreq_Hz,RealPhase
0.0000,0.0000,0.0000,0.0000,0.6000,1,1,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
0.0100,0.0600,0.0000,0.0000,0.6000,1,1,0.0013,0.3174,0.0336,0.0380,0.6000,0.0000
0.0200,0.1171,0.0000,0.0000,0.6000,1,1,-0.0391,0.9983,0.1181,0.0889,0.6000,0.0000
0.0300,0.1689,0.0000,0.0000,0.6000,1,1,-0.1202,1.7938,0.2504,0.1481,0.6000,0.0000
0.0400,0.2142,0.0000,0.0000,0.6002,1,1,-0.2127,2.4649,0.3950,0.2070,0.6000,0.0000
0.0500,0.2528,0.0000,0.0000,0.6007,1,1,-0.2861,2.9289,0.5168,0.2600,0.6000,0.0000
0.0600,0.2859,0.0000,0.0000,0.6016,1,1,-0.3234,3.2039,0.5966,0.3053,0.6000,0.0000
0.0700,0.3157,0.0000,0.0000,0.6022,1,1,-0.3219,3.3406,0.6325,0.3440,0.6000,0.0000
0.0800,0.3448,0.0000,0.0000,0.6023,1,1,-0.2913,3.3940,0.6357,0.3783,0.6000,0.0000
0.0900,0.3759,0.0000,0.0000,0.6020,1,1,-0.2488,3.4149,0.6259,0.4113,0.6000,0.0000
0.1000,0.4107,0.0000,0.0000,0.6019,1,1,-0.2128,3.4463,0.6238,0.4455,0.6000,0.0000
0.1100,0.4503,0.0000,0.0000,0.6027,1,1,-0.1964,3.5172,0.6443,0.4831,0.6000,0.0000
0.1200,0.4942,0.0000,0.0000,0.6047,1,1,-0.2030,3.6381,0.6916,0.5250,0.6000,0.0000
0.1300,0.5408,0.0000,0.0000,0.6075,1,1,-0.2250,3.7982,0.7579,0.5709,0.6000,0.0000
0.1400,0.5878,0.0000,0.0000,0.6104,1,1,-0.2474,3.9692,0.8268,0.6190,0.6000,0.0000
0.1500,0.6321,0.0000,0.0000,0.6126,1,1,-0.2528,4.1116,0.8784,0.6666,0.6000,0.0000
0.1600,0.6711,0.0000,0.0000,0.6134,1,1,-0.2265,4.1849,0.8953,0.7107,0.6000,0.0000
0.1700,0.7030,0.0000,0.0000,0.6121,1,1,-0.1604,4.1573,0.8673,0.7484,0.6000,0.0000
0.1800,0.7268,0.0000,0.0000,0.6121,1,1,-0.0553,4.0140,0.7930,0.7779,0.6000,0.0000
