log,q_w,axis,mean_hz,std_hz,mae_hz,p95_step_hz
00000444_w35_100,1e-9,x,0.4573947099598686,0.00011060724962451165,0.007394709959868631,0.0001000000000000445
00000444_w35_100,1e-9,y,0.6,0.0,0.14999999999999994,0.0
00000444_w35_100,1e-9,xy,0.4573947099598686,0.00011060724962451165,0.007394709959868631,0.0001000000000000445
00000444_w35_100,1e-5,x,0.45750003648303533,0.00015074906770031485,0.007500036483035378,0.0001000000000000445
00000444_w35_100,1e-5,y,0.6,0.0,0.14999999999999994,0.0
00000444_w35_100,1e-5,xy,0.45750003648303533,0.00015074906770031485,0.007500036483035378,0.0001000000000000445
00000444_w35_100,1e-2,x,0.4649950383071872,0.010209759416756108,0.015590806275082077,0.012305000000000002
00000444_w35_100,1e-2,y,0.6,0.0,0.14999999999999994,0.0
00000444_w35_100,1e-2,xy,0.4649950383071872,0.010209759416756108,0.015590806275082077,0.012305000000000002
00000444_w40_110,1e-9,x,0.4574968724939854,9.459237126385374e-05,0.007496872493985566,0.0001000000000000445
00000444_w40_110,1e-9,y,0.5999999999999999,1.1102230246251565e-16,0.1499999999999999,0.0
00000444_w40_110,1e-9,xy,0.4574968724939854,9.459237126385374e-05,0.007496872493985566,0.0001000000000000445
00000444_w40_110,1e-5,x,0.45762651697407114,0.00013544457490598686,0.007626516974071093,0.0001000000000000445
00000444_w40_110,1e-5,y,0.5999999999999999,1.1102230246251565e-16,0.1499999999999999,0.0
00000444_w40_110,1e-5,xy,0.45762651697407114,0.00013544457490598686,0.007626516974071093,0.0001000000000000445
00000444_w40_110,1e-2,x,0.46668505747126443,0.009172190088913889,0.017120556001069223,0.01100000000000001
00000444_w40_110,1e-2,y,0.5999999999999999,1.1102230246251565e-16,0.1499999999999999,0.0
00000444_w40_110,1e-2,xy,0.46668505747126443,0.009172190088913889,0.017120556001069223,0.01100000000000001
