log,q_w,axis,mean_hz,std_hz,mae_hz,p95_step_hz
00000443_w35_100,1e-9,x,0.46122384525205157,0.0002435594478931023,0.011223845252051562,0.0001000000000000445
00000443_w35_100,1e-9,y,0.6195981711606097,0.019258805179972954,0.1695981711606096,0.0035999999999999366
00000443_w35_100,1e-9,xy,0.5404099648300117,0.009546616010686926,0.09040996483001171,0.0018000000000000238
00000443_w35_100,1e-5,x,0.461514185228605,0.0003853628468350866,0.011514185228604909,0.00019999999999997797
00000443_w35_100,1e-5,y,0.6193527784290739,0.019396788324909965,0.16935277842907384,0.003600000000000031
00000443_w35_100,1e-5,xy,0.5404348651817116,0.009540976544495913,0.09043486518171161,0.0018000000000000238
00000443_w35_100,1e-2,x,0.4787734349355217,0.01620237676816099,0.029131699882766694,0.016000000000000014
00000443_w35_100,1e-2,y,0.6083270105509965,0.06367442976174101,0.15832701055099646,0.025470000000000048
00000443_w35_100,1e-2,xy,0.5435502227432591,0.03119347243725271,0.09355022274325907,0.014800000000000035
00000443_w40_110,1e-9,x,0.4893997340930675,0.0005779190536894735,0.039399734093067434,0.0001000000000000445
00000443_w40_110,1e-9,y,0.6086332763532764,0.01397916201197544,0.15863327635327634,0.0030000000000000027
00000443_w40_110,1e-9,xy,0.5490156125356125,0.007201750297035402,0.09901561253561253,0.0015000000000000568
00000443_w40_110,1e-5,x,0.48889350427350425,0.0007265495404905701,0.03889350427350426,0.00019999999999997797
00000443_w40_110,1e-5,y,0.6085522507122508,0.014086028558019228,0.15855225071225068,0.0030000000000000027
00000443_w40_110,1e-5,xy,0.5487225830959165,0.007323143203300652,0.09872258309591642,0.0015000000000000568
00000443_w40_110,1e-2,x,0.48309097815764485,0.022432296456323105,0.033374510921177575,0.01558499999999995
00000443_w40_110,1e-2,y,0.6397260968660969,0.09331134233630016,0.18972609686609684,0.025599999999999956
00000443_w40_110,1e-2,xy,0.561408433048433,0.050732575713000584,0.11140843304843304,0.014800000000000035
