log,window,axis,config,mean_hz,std_hz,mae_hz,final_hz
00000443,00000443_w35_100,x,selected,0.4551346072684643,0.0004083455215723633,0.005134607268464247,0.4554
00000443,00000443_w35_100,y,selected,0.5999999999999999,1.1102230246251565e-16,0.1499999999999999,0.6
00000443,00000443_w35_100,xy,selected,0.4551346072684643,0.0004083455215723633,0.005134607268464247,0.4554
00000443,00000443_w40_110,x,selected,0.4537760113960113,0.0004303182945541232,0.003776011396011397,0.454
00000443,00000443_w40_110,y,selected,0.5999999999999999,1.1102230246251565e-16,0.1499999999999999,0.6
00000443,00000443_w40_110,xy,selected,0.4537760113960113,0.0004303182945541232,0.003776011396011397,0.454
00000444,00000444_w35_100,x,selected,0.4573947099598686,0.00011060724962451165,0.007394709959868631,0.4574
00000444,00000444_w35_100,y,selected,0.6,0.0,0.14999999999999994,0.6
00000444,00000444_w35_100,xy,selected,0.4573947099598686,0.00011060724962451165,0.007394709959868631,0.4574
00000444,00000444_w40_110,x,selected,0.4574968724939854,9.459237126385374e-05,0.007496872493985566,0.4575
00000444,00000444_w40_110,y,selected,0.5999999999999999,1.1102230246251565e-16,0.1499999999999999,0.6
00000444,00000444_w40_110,xy,selected,0.4574968724939854,9.459237126385374e-05,0.007496872493985566,0.4575
