Time_s,PLX,PLY,EstFreq_Hz,PhaseCorr,SW,RealSW,RLS_A_X,RLS_B_X
0.0000,0.2038,0.1633,0.5794,0.0000,0,0,0.0000,0.1014
0.0104,0.2038,0.1685,0.5794,0.0000,0,0,0.0000,0.1019
0.0204,0.2095,0.1724,0.5794,0.0000,0,0,0.0009,0.1048
0.0311,0.2087,0.1691,0.5794,0.0000,0,0,0.0007,0.1047
0.0407,0.2043,0.1687,0.5794,0.0000,0,0,-0.0025,0.1030
0.0503,0.2017,0.1681,0.5794,0.0000,0,0,-0.0053,0.1022
0.0604,0.2061,0.1695,0.5794,0.0000,0,0,0.0025,0.1037
0.0704,0.2084,0.1671,0.5794,0.0000,0,0,0.0078,0.1047
0.0807,0.2030,0.1685,0.5794,0.0000,0,0,0.0023,0.1037
0.0907,0.2011,0.1681,0.5794,0.0000,0,0,0.0006,0.1033
0.1004,0.2063,0.1734,0.5794,0.0000,0,0,0.0066,0.1047
0.1103,0.2050,0.1718,0.5794,0.0000,0,0,0.0078,0.1050
0.1204,0.2016,0.1681,0.5794,0.0000,0,0,0.0066,0.1046
0.1307,0.2101,0.1661,0.5794,0.0000,0,0,0.0124,0.1063
0.1407,0.2174,0.1729,0.5794,0.0000,0,0,0.0191,0.1084
0.1504,0.2148,0.1781,0.5794,0.0000,0,0,0.0209,0.1090
0.1603,0.2073,0.1701,0.5794,0.0000,0,0,0.0192,0.1084
0.1703,0.2005,0.1636,0.5794,0.0000,0,0,0.0165,0.1074
0.1809,0.2008,0.1636,0.5794,0.0000,0,0,0.0159,0.1072
0.1912,0.2042,0.1685,0.5794,0.0000,0,0,0.0173,0.1077
0.2004,0.2045,0.1718,0.5794,0.0000,0,0,0.0185,0.1082
0.2104,0.2054,0.1679,0.5794,0.0000,0,0,0.0200,0.1089
0.2205,0.2095,0.1658,0.5794,0.0000,0,0,0.0223,0.1099
0.2306,0.2097,0.1655,0.5794,0.0000,0,0,0.0242,0.1108
0.2407,0.2078,0.1680,0.5794,0.0000,0,0,0.0255,0.1114
0.2504,0.2083,0.1671,0.5794,0.0000,0,0,0.0269,0.1121
0.2603,0.2061,0.1675,0.5794,0.0000,0,0,0.0279,0.1126
0.2704,0.2060,0.1680,0.5794,0.0000,0,0,0.0290,0.1131
0.2807,0.2019,0.1686,0.5794,0.0000,0,0,0.0296,0.1134
0.2907,0.2066,0.1694,0.5794,0.0000,0,0,0.0310,0.1141
0.3005,0.2085,0.1617,0.5794,0.0000,0,0,0.0326,0.1149
0.3103,0.2040,0.1588,0.5794,0.0000,0,0,0.0337,0.1154
0.3203,0.2013,0.1681,0.5794,0.0000,0,0,0.0346,0.1159
0.3307,0.2062,0.1672,0.5794,0.0000,0,0,0.0361,0.1166
0.3407,0.2096,0.1622,0.5794,0.0000,0,0,0.0379,0.1174
0.3503,0.2081,0.1631,0.5794,0.0000,0,0,0.0395,0.1181
0.3604,0.2057,0.1703,0.5794,0.0000,0,0,0.0409,0.1187
0.3703,0.2073,0.1685,0.5794,0.0000,0,0,0.0425,0.1193
0.3809,0.2160,0.1668,0.5794,0.0000,0,0,0.0447,0.1200
0.3912,0.2120,0.1702,0.5794,0.0000,0,0,0.0466,0.1206
0.4005,0.2147,0.1693,0.5794,0.0000,0,0,0.0486,0.1211
0.4104,0.2076,0.1673,0.5794,0.0000,0,0,0.0501,0.1214
0.4204,0.2050,0.1654,0.5794,0.0000,0,0,0.0515,0.1215
0.4307,0.2079,0.1616,0.5794,0.0000,0,0,0.0531,0.1216
0.4407,0.2114,0.1654,0.5794,0.0000,0,0,0.0549,0.1215
0.4503,0.2137,0.1715,0.5794,0.0000,0,0,0.0568,0.1213
0.4603,0.2106,0.1716,0.5794,0.0000,0,0,0.0585,0.1209
0.4703,0.2121,0.1656,0.5794,0.0000,0,0,0.0603,0.1203
0.4807,0.2098,0.1664,0.5794,0.0000,0,0,0.0620,0.1195
0.4907,0.2057,0.1712,0.5794,0.0000,0,0,0.0635,0.1187
0.5005,0.2026,0.1707,0.5794,0.0000,0,0,0.0649,0.1178
0.5103,0.2056,0.1669,0.5794,0.0000,0,0,0.0664,0.1167
0.5204,0.2093,0.1659,0.5794,0.0000,0,0,0.0681,0.1152
0.5307,0.2093,0.1676,0.5794,0.0000,0,0,0.0697,0.1136
0.5407,0.2070,0.1677,0.5794,0.0000,0,0,0.0711,0.1118
0.5504,0.2082,0.1692,0.5794,0.0000,0,0,0.0726,0.1099
0.5604,0.2076,0.1641,0.5794,0.0000,0,0,0.0740,0.1078
0.5704,0.2020,0.1630,0.5794,0.0000,0,0,0.0751,0.1057
0.5808,0.2012,0.1680,0.5794,0.0000,0,0,0.0762,0.1036
0.5911,0.2044,0.1673,0.5794,0.0000,0,0,0.0773,0.1011
0.6004,0.2060,0.1686,0.5794,0.0000,0,0,0.0784,0.0984
0.6103,0.2073,0.1699,0.5794,0.0000,0,0,0.0794,0.0954
0.6203,0.2101,0.1747,0.5794,0.0000,0,0,0.0803,0.0922
0.6307,0.2123,0.1715,0.5794,0.0000,0,0,0.0812,0.0888
0.6407,0.2073,0.1662,0.5794,0.0000,0,0,0.0819,0.0855
0.6503,0.2097,0.1634,0.5794,0.0000,0,0,0.0825,0.0820
0.6605,0.2092,0.1661,0.5794,0.0000,0,0,0.0830,0.0785
0.6704,0.2148,0.1734,0.5794,0.0000,0,0,0.0834,0.0745
0.6807,0.2177,0.1730,0.5794,0.0000,0,0,0.0836,0.0703
0.6908,0.2127,0.1686,0.5794,0.0000,0,0,0.0838,0.0664
0.7005,0.2086,0.1651,0.5794,0.0000,0,0,0.0838,0.0628
0.7104,0.2111,0.1668,0.5794,0.0000,0,0,0.0837,0.0589
0.7205,0.2120,0.1679,0.5794,0.0000,0,0,0.0835,0.0550
0.7307,0.2054,0.1704,0.5794,0.0000,0,0,0.0833,0.0515
0.7407,0.2058,0.1638,0.5794,0.0000,0,0,0.0829,0.0480
0.7503,0.2097,0.1691,0.5794,0.0000,0,0,0.0825,0.0443
0.7604,0.2083,0.1738,0.5794,0.0000,0,0,0.0819,0.0406
0.7703,0.2038,0.1669,0.5794,0.0000,0,0,0.0814,0.0373
0.7808,0.2050,0.1557,0.5794,0.0000,0,0,0.0807,0.0339
0.7912,0.2079,0.1613,0.5794,0.0000,0,0,0.0799,0.0304
0.8004,0.2051,0.1699,0.5794,0.0000,0,0,0.0791,0.0271
0.8103,0.2007,0.1740,0.5794,0.0000,0,0,0.0783,0.0242
0.8203,0.2028,0.1657,0.5794,0.0000,0,0,0.0775,0.0211
0.8307,0.2035,0.1568,0.5794,0.0000,0,0,0.0765,0.0181
0.8407,0.2075,0.1641,0.5794,0.0000,0,0,0.0755,0.0150
0.8504,0.2110,0.1647,0.5794,0.0000,0,0,0.0743,0.0117
0.8604,0.2139,0.1615,0.5794,0.0000,0,0,0.0730,0.0084
0.8704,0.2071,0.1551,0.5794,0.0000,0,0,0.0718,0.0056
0.8807,0.2036,0.1631,0.5794,0.0000,0,0,0.0707,0.0030
