Time_s,PLX,PLY,EstFreq_Hz,PhaseCorr,SW,RealSW,RLS_A_X,RLS_B_X
Time_s,PLX,PLY,EstFreq_Hz,PhaseCorr,SW,RealSW
0.0000,0.2038,0.1633,0.6000,0.0000,0,0,0.0000,0.1014
0.0104,0.2038,0.1685,0.6000,0.0000,0,0,0.0000,0.1019
0.0204,0.2095,0.1724,0.6000,0.0000,0,0,0.0000,0.1047
0.0311,0.2087,0.1691,0.6000,0.0000,0,0,0.0000,0.1044
0.0407,0.2043,0.1687,0.6000,0.0000,0,0,-0.0000,0.1023
0.0503,0.2017,0.1681,0.6000,0.0000,0,0,-0.0000,0.1010
0.0604,0.2061,0.1695,0.6000,0.0000,0,0,0.0000,0.1027
0.0704,0.2084,0.1671,0.6000,0.0000,0,0,0.0000,0.1038
0.0807,0.2030,0.1685,0.6000,0.0000,0,0,-0.0000,0.1023
0.0907,0.2011,0.1681,0.6000,0.0000,0,0,-0.0000,0.1014
0.1004,0.2063,0.1734,0.6000,0.0000,0,0,-0.0000,0.1022
0.1103,0.2050,0.1718,0.6000,0.0000,0,0,-0.0000,0.1023
0.1204,0.2016,0.1681,0.6000,0.0000,0,0,-0.0000,0.1018
0.1307,0.2101,0.1661,0.6000,0.0000,0,0,0.0000,0.1028
0.1407,0.2174,0.1729,0.6000,0.0000,0,0,0.0000,0.1044
0.1504,0.2148,0.1781,0.6000,0.0000,0,0,0.0000,0.1052
0.1603,0.2073,0.1701,0.6000,0.0000,0,0,0.0000,0.1048
0.1703,0.2005,0.1636,0.6000,0.0000,0,0,0.0000,0.1039
0.1809,0.2008,0.1636,0.6000,0.0000,0,0,0.0000,0.1032
0.1912,0.2042,0.1685,0.6000,0.0000,0,0,-0.0000,0.1030
0.2004,0.2045,0.1718,0.6000,0.0000,0,0,-0.0000,0.1029
0.2104,0.2054,0.1679,0.6000,0.0000,0,0,-0.0000,0.1028
0.2205,0.2095,0.1658,0.6000,0.0000,0,0,0.0000,0.1031
0.2306,0.2097,0.1655,0.6000,0.0000,0,0,0.0000,0.1034
0.2407,0.2078,0.1680,0.6000,0.0000,0,0,0.0000,0.1034
0.2504,0.2083,0.1671,0.6000,0.0000,0,0,0.0000,0.1035
0.2603,0.2061,0.1675,0.6000,0.0000,0,0,0.0000,0.1035
0.2704,0.2060,0.1680,0.6000,0.0000,0,0,0.0000,0.1034
0.2807,0.2019,0.1686,0.6000,0.0000,0,0,-0.0000,0.1031
0.2907,0.2066,0.1694,0.6000,0.0000,0,0,-0.0000,0.1032
0.3005,0.2085,0.1617,0.6000,0.0000,0,0,0.0000,0.1033
0.3103,0.2040,0.1588,0.6000,0.0000,0,0,-0.0000,0.1032
0.3203,0.2013,0.1681,0.6000,0.0000,0,0,-0.0000,0.1029
0.3307,0.2062,0.1672,0.6000,0.0000,0,0,-0.0000,0.1029
0.3407,0.2096,0.1622,0.6000,0.0000,0,0,-0.0000,0.1031
0.3503,0.2081,0.1631,0.6000,0.0000,0,0,0.0000,0.1032
0.3604,0.2057,0.1703,0.6000,0.0000,0,0,-0.0000,0.1032
0.3703,0.2073,0.1685,0.6000,0.0000,0,0,0.0000,0.1032
0.3809,0.2160,0.1668,0.6000,0.0000,0,0,0.0000,0.1036
0.3912,0.2120,0.1702,0.6000,0.0000,0,0,0.0000,0.1037
0.4005,0.2147,0.1693,0.6000,0.0000,0,0,0.0000,0.1040
0.4104,0.2076,0.1673,0.6000,0.0000,0,0,0.0000,0.1040
0.4204,0.2050,0.1654,0.6000,0.0000,0,0,0.0000,0.1039
0.4307,0.2079,0.1616,0.6000,0.0000,0,0,0.0000,0.1039
0.4407,0.2114,0.1654,0.6000,0.0000,0,0,0.0000,0.1040
0.4503,0.2137,0.1715,0.6000,0.0000,0,0,0.0001,0.1042
0.4603,0.2106,0.1716,0.6000,0.0000,0,0,0.0001,0.1043
0.4703,0.2121,0.1656,0.6000,0.0000,0,0,0.0001,0.1044
0.4807,0.2098,0.1664,0.6000,0.0000,0,0,0.0001,0.1044
0.4907,0.2057,0.1712,0.6000,0.0000,0,0,0.0001,0.1043
0.5005,0.2026,0.1707,0.6000,0.0000,0,0,0.0000,0.1041
0.5103,0.2056,0.1669,0.6000,0.0000,0,0,0.0000,0.1041
0.5204,0.2093,0.1659,0.6000,0.0000,0,0,0.0000,0.1041
0.5307,0.2093,0.1676,0.6000,0.0000,0,0,0.0000,0.1041
0.5407,0.2070,0.1677,0.6000,0.0000,0,0,0.0000,0.1041
0.5504,0.2082,0.1692,0.6000,0.0000,0,0,0.0000,0.1041
0.5604,0.2076,0.1641,0.6000,0.0000,0,0,0.0000,0.1041
0.5704,0.2020,0.1630,0.6000,0.0000,0,0,0.0000,0.1039
0.5808,0.2012,0.1680,0.6000,0.0000,0,0,0.0000,0.1037
0.5911,0.2044,0.1673,0.6000,0.0000,0,0,0.0000,0.1037
0.6004,0.2060,0.1686,0.6000,0.0000,0,0,0.0000,0.1036
0.6103,0.2073,0.1699,0.6000,0.0000,0,0,0.0000,0.1036
0.6203,0.2101,0.1747,0.6000,0.0000,0,0,0.0000,0.1037
0.6307,0.2123,0.1715,0.6000,0.0000,0,0,0.0000,0.1038
0.6407,0.2073,0.1662,0.6000,0.0000,0,0,0.0000,0.1038
0.6503,0.2097,0.1634,0.6000,0.0000,0,0,0.0000,0.1039
0.6605,0.2092,0.1661,0.6000,0.0000,0,0,0.0000,0.1039
0.6704,0.2148,0.1734,0.6000,0.0000,0,0,0.0000,0.1040
0.6807,0.2177,0.1730,0.6000,0.0000,0,0,0.0001,0.1043
0.6908,0.2127,0.1686,0.6000,0.0000,0,0,0.0001,0.1044
0.7005,0.2086,0.1651,0.6000,0.0000,0,0,0.0001,0.1044
0.7104,0.2111,0.1668,0.6000,0.0000,0,0,0.0001,0.1044
0.7205,0.2120,0.1679,0.6000,0.0000,0,0,0.0001,0.1045
0.7307,0.2054,0.1704,0.6000,0.0000,0,0,0.0001,0.1044
0.7407,0.2058,0.1638,0.6000,0.0000,0,0,0.0001,0.1043
0.7503,0.2097,0.1691,0.6000,0.0000,0,0,0.0001,0.1044
0.7604,0.2083,0.1738,0.6000,0.0000,0,0,0.0001,0.1043
0.7703,0.2038,0.1669,0.6000,0.0000,0,0,0.0001,0.1042
0.7808,0.2050,0.1557,0.6000,0.0000,0,0,0.0001,0.1042
0.7912,0.2079,0.1613,0.6000,0.0000,0,0,0.0001,0.1042
0.8004,0.2051,0.1699,0.6000,0.0000,0,0,0.0000,0.1041
0.8103,0.2007,0.1740,0.6000,0.0000,0,0,0.0000,0.1040
0.8203,0.2028,0.1657,0.6000,0.0000,0,0,0.0000,0.1039
0.8307,0.2035,0.1568,0.6000,0.0000,0,0,0.0000,0.1038
0.8407,0.2075,0.1641,0.6000,0.0000,0,0,0.0000,0.1038
0.8504,0.2110,0.1647,0.6000,0.0000,0,0,0.0000,0.1038
0.8604,0.2139,0.1615,0.6000,0.0000,0,0,0.0000,0.1040
0.8704,0.2071,0.1551,0.6000,0.0000,0,0,0.0000,0.1039
0.8807,0.2036,0.1631,0.6000,0.0000,0,0,0.0000,0.1039
0.8907,0.2074,0.1686,0.6000,0.0000,0,0,0.0000,0.1039
0.9005,0.2085,0.1738,0.6000,0.0000,0,0,0.0000,0.1039
0.9104,0.2125,0.1645,0.6000,0.0000,0,0,0.0000,0.1040
0.9203,0.2130,0.1626,0.6000,0.0000,0,0,0.0000,0.1041
0.9307,0.2101,0.1645,0.6000,0.0000,0,0,0.0000,0.1041
0.9408,0.2061,0.1722,0.6000,0.0000,0,0,0.0000,0.1040
0.9503,0.2087,0.1701,0.6000,0.0000,0,0,0.0000,0.1041
0.9603,0.2112,0.1631,0.6000,0.0000,0,0,0.0001,0.1041
0.9704,0.2125,0.1683,0.6000,0.0000,0,0,0.0001,0.1042
0.9808,0.2092,0.1698,0.6000,0.0000,0,0,0.0001,0.1042
0.9912,0.2059,0.1691,0.6000,0.0000,0,0,0.0001,0.1042
1.0004,0.2111,0.1682,0.6000,0.0000,0,0,0.0001,0.1042
1.0104,0.2118,0.1709,0.6000,0.0000,0,0,0.0001,0.1043
1.0204,0.2088,0.1728,0.6000,0.0000,0,0,0.0001,0.1043
1.0308,0.2100,0.1671,0.6000,0.0000,0,0,0.0001,0.1043
1.0408,0.2094,0.1612,0.6000,0.0000,0,0,0.0001,0.1043
1.0504,0.2025,0.1587,0.6000,0.0000,0,0,0.0001,0.1042
1.0603,0.2033,0.1630,0.6000,0.0000,0,0,0.0001,0.1041
1.0703,0.2073,0.1679,0.6000,0.0000,0,0,0.0000,0.1041
1.0807,0.2128,0.1711,0.6000,0.0000,0,0,0.0001,0.1042
1.0907,0.2118,0.1682,0.6000,0.0000,0,0,0.0001,0.1042
1.1005,0.2081,0.1677,0.6000,0.0000,0,0,0.0001,0.1042
1.1104,0.2076,0.1689,0.6000,0.0000,0,0,0.0001,0.1042
1.1204,0.2042,0.1725,0.6000,0.0000,0,0,0.0001,0.1041
1.1307,0.2058,0.1684,0.6000,0.0000,0,0,0.0000,0.1041
1.1407,0.2028,0.1689,0.6000,0.0000,0,0,0.0000,0.1040
1.1504,0.2066,0.1661,0.6000,0.0000,0,0,0.0000,0.1040
1.1604,0.2051,0.1693,0.6000,0.0000,0,0,0.0000,0.1040
1.1703,0.2026,0.1687,0.6000,0.0000,0,0,0.0000,0.1039
1.1808,0.2069,0.1660,0.6000,0.0000,0,0,0.0000,0.1039
1.1912,0.2049,0.1726,0.6000,0.0000,0,0,0.0000,0.1038
1.2005,0.2049,0.1753,0.6000,0.0000,0,0,0.0000,0.1038
1.2104,0.2007,0.1711,0.6000,0.0000,0,0,-0.0000,0.1037
1.2204,0.2050,0.1698,0.6000,0.0000,0,0,-0.0000,0.1037
1.2307,0.2082,0.1683,0.6000,0.0000,0,0,-0.0000,0.1037
1.2407,0.2086,0.1690,0.6000,0.0000,0,0,-0.0000,0.1037
1.2503,0.2075,0.1724,0.6000,0.0000,0,0,-0.0000,0.1037
1.2604,0.2057,0.1733,0.6000,0.0000,0,0,-0.0000,0.1037
1.2704,0.2027,0.1657,0.6000,0.0000,0,0,-0.0000,0.1036
1.2807,0.2059,0.1658,0.6000,0.0000,0,0,-0.0000,0.1036
1.2907,0.2033,0.1672,0.6000,0.0000,0,0,-0.0000,0.1035
1.3005,0.2054,0.1689,0.6000,0.0000,0,0,-0.0000,0.1035
1.3104,0.2071,0.1697,0.6000,0.0000,0,0,-0.0000,0.1035
1.3204,0.2109,0.1685,0.6000,0.0000,0,0,-0.0000,0.1036
1.3307,0.2121,0.1662,0.6000,0.0000,0,0,-0.0000,0.1036
1.3407,0.2118,0.1665,0.6000,0.0000,0,0,-0.0000,0.1037
1.3504,0.2028,0.1639,0.6000,0.0000,0,0,-0.0000,0.1036
1.3604,0.2004,0.1670,0.6000,0.0000,0,0,-0.0000,0.1035
1.3704,0.2020,0.1665,0.6000,0.0000,0,0,-0.0000,0.1035
1.3808,0.2063,0.1708,0.6000,0.0000,0,0,-0.0000,0.1035
1.3913,0.2102,0.1668,0.6000,0.0000,0,0,-0.0000,0.1035
1.4004,0.2061,0.1689,0.6000,0.0000,0,0,-0.0000,0.1035
1.4104,0.2091,0.1713,0.6000,0.0000,0,0,-0.0000,0.1035
1.4203,0.2130,0.1759,0.6000,0.0000,0,0,-0.0000,0.1036
1.4307,0.2108,0.1696,0.6000,0.0000,0,0,-0.0000,0.1036
1.4407,0.2098,0.1682,0.6000,0.0000,0,0,-0.0000,0.1037
1.4503,0.2106,0.1684,0.6000,0.0000,0,0,-0.0000,0.1037
1.4604,0.2102,0.1708,0.6000,0.0000,0,0,0.0000,0.1038
1.4703,0.2100,0.1722,0.6000,0.0000,0,0,0.0000,0.1038
1.4808,0.2039,0.1693,0.6000,0.0000,0,0,0.0000,0.1037
1.4907,0.2023,0.1676,0.6000,0.0000,0,0,-0.0000,0.1037
1.5005,0.2013,0.1691,0.6000,0.0000,0,0,-0.0000,0.1036
1.5104,0.2078,0.1645,0.6000,0.0000,0,0,-0.0000,0.1036
1.5204,0.2147,0.1618,0.6000,0.0000,0,0,-0.0000,0.1037
1.5307,0.2067,0.1612,0.6000,0.0000,0,0,-0.0000,0.1037
1.5406,0.2088,0.1617,0.6000,0.0000,0,0,-0.0000,0.1037
1.5504,0.2085,0.1666,0.6000,0.0000,0,0,-0.0000,0.1037
1.5604,0.2074,0.1636,0.6000,0.0000,0,0,-0.0000,0.1037
1.5705,0.2083,0.1659,0.6000,0.0000,0,0,0.0000,0.1037
1.5808,0.2060,0.1729,0.6000,0.0000,0,0,-0.0000,0.1037
1.5911,0.2058,0.1726,0.6000,0.0000,0,0,-0.0000,0.1037
1.6004,0.2106,0.1696,0.6000,0.0000,0,0,0.0000,0.1037
1.6104,0.2123,0.1704,0.6000,0.0000,0,0,0.0000,0.1038
1.6204,0.2099,0.1732,0.6000,0.0000,0,0,0.0000,0.1038
1.6307,0.2061,0.1697,0.6000,0.0000,0,0,0.0000,0.1038
1.6407,0.2034,0.1719,0.6000,0.0000,0,0,0.0000,0.1038
1.6503,0.2047,0.1735,0.6000,0.0000,0,0,-0.0000,0.1037
1.6606,0.2104,0.1685,0.6000,0.0000,0,0,0.0000,0.1038
1.6703,0.2118,0.1714,0.6000,0.0000,0,0,0.0000,0.1038
