Time_s,PLX,PLY,PLZ,EstFreq_Hz,EstFreq_X_Hz,EstFreq_Y_Hz,SW,RealSW,DX,DY,VX,VY,CX,CY,PRX,PRY,RealFreq_Hz,RealPhase
0.0000,0.2299,0.1574,-23.5251,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2742870843708145664.0000
0.0105,0.2341,0.1490,-23.5160,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5446957514258120704.0000
0.0214,0.2408,0.1437,-23.5096,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8141482831692955648.0000
0.0305,0.2441,0.1492,-23.5197,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10330559355304280064.0000
0.0408,0.2428,0.1583,-23.5340,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12741757568691470336.0000
0.0504,0.2400,0.1637,-23.5338,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15123194201338019840.0000
0.0605,0.2380,0.1612,-23.5267,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-17467923638291267584.0000
0.0707,0.2310,0.1509,-23.5205,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19769084926993891328.0000
0.0805,0.2354,0.1501,-23.5202,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22019923767516463104.0000
0.0912,0.2384,0.1599,-23.5259,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-24433200057880150016.0000
0.1005,0.2415,0.1570,-23.5364,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26344896735838470144.0000
0.1105,0.2423,0.1507,-23.5377,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-28405654205174382592.0000
0.1208,0.2333,0.1486,-23.5264,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30390514585868173312.0000
0.1305,0.2303,0.1501,-23.5117,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-32293542714153107456.0000
0.1414,0.2249,0.1502,-23.5107,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-34290565892473356288.0000
0.1504,0.2308,0.1542,-23.5281,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35832391256894341120.0000
0.1605,0.2350,0.1582,-23.5396,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37456622818793881600.0000
0.1708,0.2360,0.1548,-23.5335,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38977625632008044544.0000
0.1805,0.2335,0.1527,-23.5189,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40390722374072270848.0000
0.1908,0.2354,0.1548,-23.5127,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41691528192614989824.0000
0.2005,0.2382,0.1557,-23.5202,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42875974894613430272.0000
0.2105,0.2356,0.1536,-23.5324,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43940310946393620480.0000
0.2209,0.2341,0.1467,-23.5305,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44881127861909454848.0000
0.2305,0.2368,0.1483,-23.5277,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45695360202742693888.0000
0.2408,0.2394,0.1552,-23.5248,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46380294374195986432.0000
0.2504,0.2370,0.1598,-23.5207,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46933586217478914048.0000
0.2605,0.2381,0.1505,-23.5156,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47353261009707991040.0000
0.2707,0.2376,0.1465,-23.5163,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47637726658046197760.0000
0.2805,0.2395,0.1473,-23.5280,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47785773699702980608.0000
0.2912,0.2399,0.1530,-23.5356,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47797661619422494720.0000
0.3005,0.2326,0.1580,-23.5291,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47671103433018966016.0000
0.3104,0.2287,0.1573,-23.5195,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47406552139283038208.0000
0.3208,0.2326,0.1492,-23.5161,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47004667445191376896.0000
0.3305,0.2343,0.1450,-23.5246,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46466210212790403072.0000
0.3413,0.2380,0.1490,-23.5377,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45724950259669401600.0000
0.3505,0.2402,0.1603,-23.5388,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44985942106362085376.0000
0.3605,0.2385,0.1524,-23.5256,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44046264284892626944.0000
0.3708,0.2337,0.1476,-23.5153,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42976989226880466944.0000
0.3805,0.2371,0.1513,-23.5217,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41780821730929934336.0000
0.3908,0.2421,0.1504,-23.5311,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40460844827645313024.0000
0.4005,0.2461,0.1525,-23.5333,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39020502187444797440.0000
0.4105,0.2415,0.1486,-23.5296,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37463593722513981440.0000
0.4209,0.2353,0.1479,-23.5181,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35794273387782602752.0000
0.4304,0.2367,0.1451,-23.5141,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-34017027190691987456.0000
0.4407,0.2357,0.1531,-23.5279,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-32136662196078772224.0000
0.4505,0.2373,0.1582,-23.5349,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30158297730081882112.0000
