Time_s,PLX,PLY,PLZ,EstFreq_Hz,EstFreq_X_Hz,EstFreq_Y_Hz,SW,RealSW,DX,DY,VX,VY,CX,CY,PRX,PRY,RealFreq_Hz,RealPhase
0.0000,0.1914,0.0848,-23.5005,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.0105,0.1890,0.0808,-23.4915,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.0206,0.1933,0.0753,-23.4957,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.0303,0.1945,0.0745,-23.5084,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.0402,0.1977,0.0816,-23.5179,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.0503,0.2025,0.0843,-23.5148,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.0606,0.2041,0.0863,-23.5043,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.0706,0.2046,0.0819,-23.4999,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.0802,0.2018,0.0763,-23.4977,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.0903,0.1987,0.0812,-23.5072,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.1003,0.1904,0.0877,-23.5179,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.1112,0.1899,0.0863,-23.5131,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.1205,0.1926,0.0834,-23.5096,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.1303,0.1957,0.0757,-23.5010,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.1402,0.1934,0.0766,-23.4937,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.1503,0.1957,0.0790,-23.5037,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.1606,0.1956,0.0869,-23.5158,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.1706,0.1946,0.0872,-23.5133,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.1802,0.1942,0.0811,-23.5012,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.1903,0.1924,0.0756,-23.4951,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.2002,0.1915,0.0770,-23.4945,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.2105,0.1908,0.0870,-23.5082,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.2205,0.1946,0.0910,-23.5169,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.2303,0.1992,0.0820,-23.5159,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.2402,0.2007,0.0757,-23.5033,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.2502,0.1987,0.0811,-23.4924,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.2607,0.1987,0.0858,-23.4980,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.2706,0.1999,0.0839,-23.5131,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.2803,0.2004,0.0806,-23.5205,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.2903,0.2003,0.0721,-23.5120,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.3003,0.1968,0.0742,-23.5027,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.3112,0.1962,0.0771,-23.5025,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.3205,0.1938,0.0791,-23.5074,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.3303,0.1947,0.0800,-23.5116,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.3402,0.1949,0.0799,-23.5194,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.3502,0.1940,0.0780,-23.5132,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.3605,0.1991,0.0754,-23.5068,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.3705,0.1975,0.0733,-23.5038,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.3803,0.1954,0.0798,-23.5049,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.3903,0.1948,0.0817,-23.5064,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.4004,0.1937,0.0835,-23.5138,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.4105,0.1962,0.0841,-23.5108,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
0.4205,0.1938,0.0812,-23.4994,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000
