Time_s,PLX,PLY,PLZ,EstFreq_Hz,EstFreq_X_Hz,EstFreq_Y_Hz,SW,RealSW,DX,DY,VX,VY,CX,CY,PRX,PRY,RealFreq_Hz,RealPhase
0.0000,0.1679,0.0901,-23.5036,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4136.5894,15236814.0000
0.0105,0.1736,0.0887,-23.4876,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4574.9014,15483443.0000
0.0203,0.1742,0.0894,-23.4845,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4921.6470,15675701.0000
0.0305,0.1755,0.0846,-23.4967,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5290.4507,15880550.0000
0.0404,0.1732,0.0848,-23.5097,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5641.7002,16075527.0000
0.0502,0.1725,0.0854,-23.5100,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5943.1826,16242011.0000
0.0606,0.1668,0.0850,-23.4956,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6287.9199,16435496.0000
0.0703,0.1693,0.0840,-23.4821,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6554.0410,16583686.0000
0.0806,0.1699,0.0788,-23.4799,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6828.7319,16739063.0000
0.0902,0.1699,0.0804,-23.4899,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7058.2314,16869536.0000
0.1003,0.1672,0.0886,-23.5049,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7269.4126,16991514.0000
0.1112,0.1686,0.0934,-23.5094,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7480.7671,17117538.0000
0.1203,0.1727,0.0915,-23.4966,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7650.8711,17221382.0000
0.1306,0.1699,0.0854,-23.4826,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7816.0146,17327130.0000
0.1403,0.1689,0.0839,-23.4896,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7944.3594,17412608.0000
0.1503,0.1711,0.0878,-23.4973,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8052.0859,17489318.0000
0.1606,0.1707,0.0886,-23.5089,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8145.9829,17564766.0000
0.1703,0.1714,0.0883,-23.5102,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8209.3496,17622840.0000
0.1812,0.1744,0.0869,-23.5017,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8252.7539,17677512.0000
0.1903,0.1728,0.0865,-23.4950,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8270.9033,17716822.0000
0.2003,0.1695,0.0850,-23.4928,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8267.5879,17747210.0000
0.2105,0.1751,0.0856,-23.4957,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8237.4141,17771046.0000
0.2203,0.1792,0.0849,-23.5003,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8188.8794,17782554.0000
0.2305,0.1759,0.0844,-23.5090,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8108.0142,17785392.0000
0.2403,0.1680,0.0882,-23.5029,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8001.6909,17777172.0000
0.2502,0.1669,0.0844,-23.4858,0.5794,0.5794,0.5794,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7885.2334,17759828.0000
