Time_s,PLX,PLY,PLZ,EstFreq_Hz,SW,RealSW,DX,VX,CX,PRX,RealFreq_Hz,RealPhase
35.0001,-0.0465,0.0179,4.8244,0.3742,0,0,-0.0370,0.3052,-0.2745,-0.3085,0.6000,-10383708.0000
35.0108,-0.0445,0.2556,4.7619,0.3742,0,0,-0.0340,0.3072,-0.2745,-0.3054,0.6000,-10383708.0000
35.0205,-0.4024,0.3861,4.5896,0.3742,0,0,-0.0309,0.3091,-0.2745,-0.3023,0.6000,-10383708.0000
35.0301,-0.2315,0.1195,4.6176,0.3742,0,0,-0.0278,0.3108,-0.2745,-0.2992,0.6000,-10383708.0000
35.0402,0.0610,0.2628,4.8109,0.3742,0,0,-0.0247,0.3123,-0.2745,-0.2961,0.6000,-10383708.0000
35.0501,-0.1466,0.4573,4.5828,0.3742,0,0,-0.0216,0.3137,-0.2745,-0.2930,0.6000,-10383708.0000
35.0604,-0.2227,0.5417,4.6620,0.3742,0,0,-0.0185,0.3149,-0.2745,-0.2898,0.6000,-10383708.0000
35.0704,0.0390,0.6667,4.7806,0.3742,0,0,-0.0153,0.3159,-0.2745,-0.2866,0.6000,-10383708.0000
35.0801,-0.1470,0.4696,4.7881,0.3742,0,0,-0.0121,0.3168,-0.2745,-0.2835,0.6000,-10383708.0000
35.0900,-0.2542,0.5906,4.8272,0.3742,0,0,-0.0090,0.3174,-0.2745,-0.2803,0.6000,-10383708.0000
35.1001,-0.2516,0.8445,4.9376,0.3742,0,0,-0.0058,0.3179,-0.2745,-0.2771,0.6000,-10383708.0000
35.1104,-0.1150,0.3300,4.9975,0.3742,0,0,-0.0026,0.3182,-0.2745,-0.2739,0.6000,-10383708.0000
35.1204,-0.0511,0.1671,5.1062,0.3742,0,0,0.0006,0.3184,-0.2745,-0.2708,0.6000,-10383708.0000
35.1301,-0.1598,0.6295,5.0151,0.3742,0,0,0.0037,0.3184,-0.2745,-0.2676,0.6000,-10383708.0000
35.1402,-0.1863,0.3660,4.9640,0.3742,0,0,0.0069,0.3182,-0.2745,-0.2644,0.6000,-10383708.0000
35.1501,-0.1242,0.0028,4.8894,0.3742,0,0,0.0101,0.3178,-0.2745,-0.2612,0.6000,-10383708.0000
35.1603,-0.3232,0.3984,4.8643,0.3742,0,0,0.0133,0.3172,-0.2745,-0.2580,0.6000,-10383708.0000
35.1703,-0.5805,0.3717,4.7588,0.3742,0,0,0.0165,0.3165,-0.2745,-0.2549,0.6000,-10383708.0000
35.1801,-0.2406,0.1765,5.0614,0.3742,0,0,0.0196,0.3156,-0.2745,-0.2517,0.6000,-10383708.0000
35.1901,-0.1407,0.4590,5.2162,0.3742,0,0,0.0228,0.3145,-0.2745,-0.2486,0.6000,-10383708.0000
35.2001,-0.4276,0.6924,5.0323,0.3742,0,0,0.0259,0.3132,-0.2745,-0.2454,0.6000,-10383708.0000
35.2107,-0.1274,0.6053,5.0900,0.3742,0,0,0.0291,0.3118,-0.2745,-0.2423,0.6000,-10383708.0000
35.2205,-0.0854,0.7192,5.0106,0.3742,0,0,0.0322,0.3102,-0.2745,-0.2392,0.6000,-10383708.0000
35.2301,-0.4916,0.7413,4.8473,0.3742,0,0,0.0353,0.3084,-0.2745,-0.2361,0.6000,-10383708.0000
35.2402,-0.2743,0.3637,5.1232,0.3742,0,0,0.0384,0.3065,-0.2745,-0.2331,0.6000,-10383708.0000
35.2501,-0.2614,0.0857,5.1697,0.3742,0,0,0.0414,0.3043,-0.2745,-0.2300,0.6000,-10383708.0000
35.2604,-0.2476,0.2335,5.1538,0.3742,0,0,0.0445,0.3020,-0.2745,-0.2270,0.6000,-10383708.0000
35.2704,-0.2160,0.2088,5.2350,0.3742,0,0,0.0475,0.2996,-0.2745,-0.2240,0.6000,-10383708.0000
35.2801,-0.3327,0.2106,5.0226,0.3742,0,0,0.0505,0.2970,-0.2745,-0.2211,0.6000,-10383708.0000
35.2901,-0.4096,0.1500,4.9628,0.3742,0,0,0.0535,0.2942,-0.2745,-0.2181,0.6000,-10383708.0000
35.3001,-0.5981,0.1504,5.0150,0.3742,0,0,0.0564,0.2912,-0.2745,-0.2152,0.6000,-10383708.0000
35.3104,-0.8293,0.2970,4.9990,0.3742,0,0,0.0593,0.2881,-0.2745,-0.2123,0.6000,-10383708.0000
35.3204,-0.5481,0.3518,5.2777,0.3742,0,0,0.0622,0.2848,-0.2745,-0.2095,0.6000,-10383708.0000
35.3301,-0.5501,0.3844,5.2346,0.3742,0,0,0.0650,0.2814,-0.2745,-0.2067,0.6000,-10383708.0000
35.3402,-0.6014,0.7196,5.0878,0.3742,0,0,0.0678,0.2778,-0.2745,-0.2039,0.6000,-10383708.0000
35.3500,-0.2538,0.7039,5.1092,0.3742,0,0,0.0706,0.2740,-0.2745,-0.2011,0.6000,-10383708.0000
35.3604,-0.3381,0.2201,5.0349,0.3742,0,0,0.0734,0.2701,-0.2745,-0.1984,0.6000,-10383708.0000
35.3703,-0.5595,0.3790,5.1189,0.3742,0,0,0.0761,0.2661,-0.2745,-0.1958,0.6000,-10383708.0000
35.3801,-0.5028,0.5454,5.2604,0.3742,0,0,0.0787,0.2619,-0.2745,-0.1932,0.6000,-10383708.0000
35.3901,-0.5783,0.0522,5.1883,0.3742,0,0,0.0813,0.2575,-0.2745,-0.1906,0.6000,-10383708.0000
35.4001,-0.4253,0.0123,5.1941,0.3742,0,0,0.0839,0.2530,-0.2745,-0.1881,0.6000,-10383708.0000
35.4108,-0.5797,0.3460,5.0522,0.3742,0,0,0.0865,0.2484,-0.2745,-0.1856,0.6000,-10383708.0000
35.4204,-0.7068,0.2173,4.8955,0.3742,0,0,0.0889,0.2436,-0.2745,-0.1831,0.6000,-10383708.0000
35.4301,-0.3859,-0.0406,5.1330,0.3742,0,0,0.0914,0.2387,-0.2745,-0.1807,0.6000,-10383708.0000
35.4401,-0.6882,0.2047,5.1501,0.3742,0,0,0.0938,0.2336,-0.2745,-0.1784,0.6000,-10383708.0000
35.4501,-0.9901,0.5351,5.0720,0.3742,0,0,0.0961,0.2284,-0.2745,-0.1761,0.6000,-10383708.0000
35.4604,-0.5549,0.1916,5.2587,0.3742,0,0,0.0984,0.2231,-0.2745,-0.1739,0.6000,-10383708.0000
35.4704,-0.4632,0.1989,5.1026,0.3735,0,0,-0.1635,0.2547,-0.2980,-0.4589,0.6000,-10383692.0000
35.4801,-0.6940,0.2491,4.8064,0.3743,0,0,-0.2849,-0.5576,-0.3085,-0.5990,0.6000,-10383692.0000
35.4901,-0.4897,0.0650,4.8910,0.3735,0,0,-0.2401,0.0929,-0.3047,-0.5438,0.6000,-10383692.0000
35.5001,-0.4972,-0.0039,4.9344,0.3731,0,0,-0.2179,0.4215,-0.3032,-0.5169,0.6000,-10383692.0000
35.5104,-0.6515,-0.0674,5.0140,0.3743,0,0,-0.2753,-0.4806,-0.3072,-0.5873,0.6000,-10383692.0000
35.5204,-0.6463,-0.0497,5.1771,0.3748,0,0,-0.3070,-0.8415,-0.3089,-0.6243,0.6000,-10383692.0000
35.5301,-0.8749,0.1404,4.9613,0.3768,0,0,-0.4280,-2.2791,-0.3166,-0.7674,0.6000,-10383692.0000
35.5401,-0.6837,-0.2752,4.8355,0.3762,0,0,-0.4139,-1.8170,-0.3139,-0.7459,0.6000,-10383692.0000
35.5501,-0.5403,-0.4122,4.8501,0.3749,0,0,-0.3430,-0.8236,-0.3068,-0.6581,0.6000,-10383692.0000
35.5604,-1.0046,0.2737,4.5430,0.3768,0,0,-0.4983,-2.2844,-0.3197,-0.8408,0.6000,-10383692.0000
35.5703,-0.7713,0.4270,4.7705,0.3765,0,0,-0.4922,-1.9864,-0.3169,-0.8290,0.6000,-10383692.0000
35.5801,-0.6198,0.0531,4.8999,0.3756,0,0,-0.4267,-1.2143,-0.3079,-0.7467,0.6000,-10383692.0000
35.5901,-0.9920,0.3746,4.7092,0.3765,0,0,-0.5372,-1.9953,-0.3193,-0.8764,0.6000,-10383692.0000
35.6002,-0.8559,0.3753,4.7093,0.3765,0,0,-0.5491,-1.9030,-0.3182,-0.8863,0.6000,-10383692.0000
35.6107,-0.5584,-0.2600,4.6192,0.3755,0,0,-0.4411,-0.9425,-0.3007,-0.7513,0.6000,-10383692.0000
35.6205,-0.7410,0.0521,4.4737,0.3755,0,0,-0.4466,-0.8907,-0.3002,-0.7557,0.6000,-10383692.0000
35.6301,-0.7344,0.2807,4.4392,0.3755,0,0,-0.4475,-0.8125,-0.2989,-0.7545,0.6000,-10383692.0000
35.6402,-0.7323,-0.0494,4.5148,0.3754,0,0,-0.4475,-0.7351,-0.2974,-0.7523,0.6000,-10383692.0000
