Time_s,PLX,PLY,PLZ,EstFreq_Hz,SW,RealSW,DX,VX,CX,PRX,RealFreq_Hz,RealPhase
0.0000,-0.2881,0.3246,4.1769,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0101,-0.5621,0.6192,4.1437,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0203,-0.0878,0.3586,4.4197,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0303,0.1056,0.4378,4.6171,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0400,-0.2167,0.7617,4.3857,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0500,-0.1569,0.4873,4.4654,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0600,0.3064,0.1023,4.5101,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0703,-0.0486,0.3968,4.3730,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0803,-0.2216,0.7260,4.3209,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0900,-0.1474,0.3923,4.4144,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1000,0.0385,-0.0438,4.5549,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1101,0.0381,0.2281,4.5657,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1209,-0.1442,0.3208,4.4860,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1304,-0.0313,0.0558,4.5264,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1400,0.0437,0.0559,4.6228,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1501,-0.4458,0.6221,4.5407,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1599,-0.5845,0.6363,4.5421,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1704,-0.1986,-0.0505,4.7329,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1808,-0.2230,0.1023,4.7215,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1900,-0.1855,0.5772,4.6333,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.2000,-0.0184,0.3242,4.7933,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.2101,-0.1435,0.3034,4.7803,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.2203,-0.1757,0.4024,4.8448,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.2303,-0.0015,0.2344,5.0395,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.2400,-0.2767,0.0628,4.8631,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.2501,-0.3266,-0.1654,4.7655,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.2600,-0.1146,-0.1333,4.7999,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.2703,-0.2390,0.0715,4.6435,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.2803,-0.4122,0.2378,4.6895,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.2901,-0.6704,0.2146,4.6581,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.3000,-0.4972,-0.0230,4.7068,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.3101,-0.1657,-0.0837,4.8967,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.3209,-0.5095,0.0852,4.6389,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.3304,-0.4236,0.0867,4.7078,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.3400,-0.0955,0.1252,4.9516,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.3501,-0.5286,0.4592,4.7571,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.3600,-0.6795,0.7131,4.7641,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.3704,-0.1780,0.2039,4.8912,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.3809,-0.2178,0.0856,4.8157,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.3900,-0.3269,0.5097,4.7196,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.4000,-0.3715,0.2502,4.7192,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.4101,-0.1495,-0.2395,4.8460,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.4203,-0.2127,0.0278,4.8888,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.4304,-0.5094,0.4255,4.8056,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.4400,-0.6156,0.0940,4.8304,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.4500,-0.2882,-0.2319,4.8659,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.4599,-0.3899,0.1871,4.7973,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.4704,-0.5364,0.5321,4.6837,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.4803,-0.2472,0.0279,4.9051,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
