Time_s,PLX,PLY,PLZ,EstFreq_Hz,SW,RealSW,DX,DY,VX,VY,CX,CY,PRX,PRY,RealFreq_Hz,RealPhase
0.0000,-0.5317,0.0994,4.5217,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.0098,-0.4172,0.1747,4.5920,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.0203,-0.3275,0.3737,4.5773,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.0299,-0.5360,0.3818,4.3243,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.0403,-0.4063,0.6091,4.3680,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.0500,-0.2778,0.5451,4.4433,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.0600,-0.4960,0.4480,4.4700,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.0703,-0.4360,0.8428,4.5779,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.0800,-0.1983,0.6253,4.6165,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.0908,-0.1903,0.1880,4.5234,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.1000,-0.1916,0.5829,4.4774,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.1099,-0.2885,0.4831,4.4809,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.1203,-0.2426,-0.0483,4.4908,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.1299,-0.2910,0.3340,4.5929,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.1403,-0.4112,0.5762,4.5739,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.1499,-0.3832,0.1223,4.6661,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.1600,-0.1014,0.1581,4.7939,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.1702,-0.4047,0.3912,4.6501,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.1800,-0.4458,0.2946,4.6759,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.1902,-0.1905,0.4038,4.8158,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.2000,-0.3044,0.3970,4.7553,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.2099,-0.5140,0.4737,4.7344,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.2204,-0.4351,0.6483,4.7936,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.2299,-0.4796,0.3493,4.7507,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.2403,-0.5125,0.1346,4.7180,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.2499,-0.3946,0.2759,4.8531,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.2600,-0.4107,-0.0427,4.8541,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.2702,-0.3755,-0.4375,4.8121,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.2800,-0.4273,-0.0546,4.7498,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.2908,-0.7130,0.1556,4.5115,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.3000,-0.5789,-0.1890,4.5897,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.3099,-0.5703,0.0254,4.7431,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.3202,-0.7899,0.4409,4.5661,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.3299,-0.3652,0.2071,4.8808,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.3403,-0.2210,0.2708,4.8735,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.3499,-0.6270,0.4616,4.6233,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.3600,-0.4529,0.0720,4.7284,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.3702,-0.3927,-0.2831,4.7427,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.3800,-0.5594,-0.1168,4.7252,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383436.0000
0.3902,-0.5148,-0.1363,4.8627,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.4000,-0.5328,-0.0827,4.7726,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.4100,-0.4038,0.0918,4.7798,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.4203,-0.2895,0.0377,4.6391,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.4299,-0.5687,0.1650,4.5774,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.4402,-0.5421,0.3013,4.5180,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.4500,-0.5448,-0.0483,4.6631,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.4600,-0.6531,0.2259,4.5748,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.4702,-0.6373,0.5369,4.6000,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.4800,-0.2187,0.0433,4.6190,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.4908,-0.1175,-0.0558,4.6199,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.5000,-0.2635,0.1629,4.4765,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.5099,-0.3838,0.0142,4.5117,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.5203,-0.3125,-0.1599,4.4829,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.5299,-0.3366,-0.1604,4.4901,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.5403,-0.3600,-0.0550,4.3499,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.5499,-0.5413,0.0730,4.1731,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.5600,-0.2620,-0.0371,4.2693,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.5702,-0.2137,-0.1951,4.4393,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.5800,-0.3908,0.1693,4.4367,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.5902,-0.2994,0.2329,4.5568,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.6000,0.0844,-0.0701,4.6786,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.6099,-0.2285,0.3689,4.5219,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.6203,-0.3022,0.5287,4.4428,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.6300,-0.0665,-0.0352,4.6170,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.6402,-0.0141,-0.1031,4.5787,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.6499,-0.0943,-0.1031,4.5438,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.6600,-0.1262,-0.2594,4.5684,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.6702,-0.3040,0.0247,4.4124,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.6800,-0.2091,0.0212,4.4018,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.6908,-0.3016,0.0151,4.3699,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.7000,-0.1409,0.2120,4.3404,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.7099,0.1182,-0.1784,4.5246,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.7202,-0.0292,-0.1399,4.4387,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.7299,-0.2737,0.3920,4.3575,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.7403,-0.1367,0.0920,4.3699,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.7499,-0.1134,-0.1250,4.3412,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.7600,-0.1349,0.4432,4.3523,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.7702,0.0456,0.2938,4.4062,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.7800,0.1421,-0.2925,4.3466,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.7902,-0.0929,-0.0288,4.3380,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.8000,-0.2577,0.0018,4.1604,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.8100,-0.3446,-0.3809,4.1596,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.8204,-0.1191,-0.1032,4.2236,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.8299,-0.2159,0.1692,4.2782,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.8402,-0.1611,0.1867,4.2877,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.8500,-0.0579,0.2881,4.3641,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.8599,-0.0392,0.1235,4.2641,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.8702,-0.1805,0.1113,4.1666,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.8800,0.0610,0.3534,4.2993,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.8907,-0.0123,0.0841,4.3499,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.9001,-0.1068,0.1207,4.2833,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.9100,-0.1518,0.3307,4.2446,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.9202,-0.1566,-0.1965,4.0484,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.9299,-0.0432,-0.7087,3.9855,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.9403,-0.0112,-0.0620,4.0269,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.9499,-0.2590,0.2097,3.9420,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.9600,-0.0021,-0.0402,4.1160,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.9702,0.1126,0.1070,4.2419,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.9800,-0.2392,0.3059,4.1010,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
0.9903,-0.0146,0.1107,4.2037,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
1.0000,0.2850,0.1364,4.2492,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
1.0099,0.0482,0.2237,4.0909,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
1.0203,0.1685,0.3183,4.2948,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
1.0300,0.1419,0.3815,4.3651,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
1.0403,0.0035,-0.1523,4.2179,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10383193.0000
